pressure [MPa], density [g/ml], viscosity [muPa*s], enthalpy [kJ/kg]
.500, 1.35870635e-03, 2.96670440e-05, 3.54233753e+03
1.500, 4.10360599e-03, 2.96947675e-05, 3.53245049e+03
2.500, 6.88623126e-03, 2.97264382e-05, 3.52245881e+03
3.500, 9.70793375e-03, 2.97621553e-05, 3.51235711e+03
4.500, 1.25701335e-02, 2.98020241e-05, 3.50214030e+03
5.500, 1.54743186e-02, 2.98461570e-05, 3.49180366e+03
6.500, 1.84220445e-02, 2.98946737e-05, 3.48134277e+03
7.500, 2.14149339e-02, 2.99477015e-05, 3.47075359e+03
8.500, 2.44546750e-02, 3.00053754e-05, 3.46003241e+03
9.500, 2.75430215e-02, 3.00678388e-05, 3.44917587e+03
10.500, 3.06817907e-02, 3.01352437e-05, 3.43818098e+03
11.500, 3.38728626e-02, 3.02077508e-05, 3.42704507e+03
12.500, 3.71181781e-02, 3.02855298e-05, 3.41576585e+03
13.500, 4.04197378e-02, 3.03687599e-05, 3.40434133e+03
14.500, 4.37796000e-02, 3.04576296e-05, 3.39276988e+03
15.500, 4.71998786e-02, 3.05523375e-05, 3.38105014e+03
16.500, 5.06827408e-02, 3.06530918e-05, 3.36918110e+03
17.500, 5.42304052e-02, 3.07601109e-05, 3.35716201e+03
18.500, 5.78451385e-02, 3.08736233e-05, 3.34499239e+03
19.500, 6.15292525e-02, 3.09938679e-05, 3.33267206e+03
20.500, 6.52851007e-02, 3.11210936e-05, 3.32020106e+03
21.500, 6.91150739e-02, 3.12555596e-05, 3.30757968e+03
22.500, 7.30215955e-02, 3.13975352e-05, 3.29480848e+03
23.500, 7.70071160e-02, 3.15472996e-05, 3.28188823e+03
24.500, 8.10741059e-02, 3.17051415e-05, 3.26881996e+03
25.500, 8.52250478e-02, 3.18713587e-05, 3.25560495e+03
26.500, 8.94624275e-02, 3.20462577e-05, 3.24224476e+03
27.500, 9.37887218e-02, 3.22301527e-05, 3.22874125e+03
28.500, 9.82063860e-02, 3.24233649e-05, 3.21509659e+03
29.500, 1.02717838e-01, 3.26262211e-05, 3.20131332e+03
30.500, 1.07325439e-01, 3.28390526e-05, 3.18739440e+03
31.500, 1.12031473e-01, 3.30621929e-05, 3.17334325e+03
32.500, 1.16838121e-01, 3.32959762e-05, 3.15916380e+03
33.500, 1.21747432e-01, 3.35407343e-05, 3.14486060e+03
34.500, 1.26761289e-01, 3.37967941e-05, 3.13043884e+03
35.500, 1.31881372e-01, 3.40644737e-05, 3.11590446e+03
36.500, 1.37109114e-01, 3.43440787e-05, 3.10126422e+03
37.500, 1.42445657e-01, 3.46358976e-05, 3.08652577e+03
38.500, 1.47891794e-01, 3.49401964e-05, 3.07169776e+03
39.500, 1.53447918e-01, 3.52572131e-05, 3.05678985e+03
40.500, 1.59113957e-01, 3.55871512e-05, 3.04181284e+03
41.500, 1.64889314e-01, 3.59301730e-05, 3.02677867e+03
42.500, 1.70772796e-01, 3.62863922e-05, 3.01170048e+03
43.500, 1.76762554e-01, 3.66558665e-05, 2.99659261e+03
44.500, 1.82856013e-01, 3.70385898e-05, 2.98147060e+03
45.500, 1.89049814e-01, 3.74344844e-05, 2.96635118e+03
46.500, 1.95339758e-01, 3.78433942e-05, 2.95125215e+03
47.500, 2.01720763e-01, 3.82650775e-05, 2.93619236e+03
48.500, 2.08186830e-01, 3.86992019e-05, 2.92119153e+03
49.500, 2.14731031e-01, 3.91453398e-05, 2.90627013e+03
50.500, 2.21345510e-01, 3.96029659e-05, 2.89144924e+03
51.500, 2.28021515e-01, 4.00714570e-05, 2.87675027e+03
52.500, 2.34749440e-01, 4.05500938e-05, 2.86219487e+03
53.500, 2.41518911e-01, 4.10380654e-05, 2.84780461e+03
54.500, 2.48318885e-01, 4.15344766e-05, 2.83360086e+03
55.500, 2.55137775e-01, 4.20383577e-05, 2.81960454e+03
56.500, 2.61963604e-01, 4.25486772e-05, 2.80583597e+03
57.500, 2.68784172e-01, 4.30643558e-05, 2.79231469e+03
58.500, 2.75587246e-01, 4.35842843e-05, 2.77905926e+03
59.500, 2.82360768e-01, 4.41073418e-05, 2.76608712e+03
60.500, 2.89093082e-01, 4.46324174e-05, 2.75341420e+03
61.500, 2.95773203e-01, 4.51584356e-05, 2.74105451e+03
62.500, 3.02391147e-01, 4.56843862e-05, 2.72901926e+03
63.500, 3.08938367e-01, 4.62093650e-05, 2.71731547e+03
64.500, 3.15408366e-01, 4.67326287e-05, 2.70594379e+03
65.500, 3.21797585e-01, 4.72536751e-05, 2.69489498e+03
66.500, 3.28106715e-01, 4.77723604e-05, 2.68414456e+03
67.500, 3.34318322e-01, 4.82870510e-05, 2.67362343e+03
68.500, 3.40437041e-01, 4.87979333e-05, 2.66348727e+03
69.500, 3.46452615e-01, 4.93039622e-05, 2.65366729e+03
70.500, 3.52362081e-01, 4.98047000e-05, 2.64415813e+03
71.500, 3.58163294e-01, 5.02997835e-05, 2.63495347e+03
72.500, 3.63854828e-01, 5.07889165e-05, 2.62604624e+03
73.500, 3.69435896e-01, 5.12718632e-05, 2.61742880e+03
74.500, 3.74906268e-01, 5.17484431e-05, 2.60909307e+03
75.500, 3.80266213e-01, 5.22185245e-05, 2.60103065e+03
76.500, 3.85516428e-01, 5.26820199e-05, 2.59323296e+03
77.500, 3.90657983e-01, 5.31388808e-05, 2.58569129e+03
78.500, 3.95692265e-01, 5.35890930e-05, 2.57839690e+03
79.500, 4.00620929e-01, 5.40326720e-05, 2.57134108e+03
