pressure [MPa], density [g/ml], viscosity [muPa*s], enthalpy [kJ/kg]
.050, 1.35465127e-04, 2.96558313e-05, 3.54675407e+03
.150, 4.06664657e-04, 2.96582560e-05, 3.54577432e+03
.250, 6.78224198e-04, 2.96607189e-05, 3.54479361e+03
.350, 9.50145008e-04, 2.96632201e-05, 3.54381191e+03
.450, 1.22242832e-03, 2.96657598e-05, 3.54282924e+03
.550, 1.49507546e-03, 2.96683379e-05, 3.54184558e+03
.650, 1.76808744e-03, 2.96709546e-05, 3.54086093e+03
.750, 2.04146582e-03, 2.96736100e-05, 3.53987528e+03
.850, 2.31521172e-03, 2.96763041e-05, 3.53888862e+03
.950, 2.58932624e-03, 2.96790372e-05, 3.53790096e+03
1.050, 2.86381081e-03, 2.96818091e-05, 3.53691228e+03
1.150, 3.13866689e-03, 2.96846201e-05, 3.53592257e+03
1.250, 3.41389560e-03, 2.96874703e-05, 3.53493185e+03
1.350, 3.68949823e-03, 2.96903596e-05, 3.53394008e+03
1.450, 3.96547610e-03, 2.96932883e-05, 3.53294728e+03
1.550, 4.24183018e-03, 2.96962565e-05, 3.53195344e+03
1.650, 4.51856245e-03, 2.96992641e-05, 3.53095855e+03
1.750, 4.79567391e-03, 2.97023113e-05, 3.52996260e+03
1.850, 5.07316587e-03, 2.97053983e-05, 3.52896559e+03
1.950, 5.35103969e-03, 2.97085251e-05, 3.52796751e+03
2.050, 5.62929638e-03, 2.97116917e-05, 3.52696837e+03
2.150, 5.90793828e-03, 2.97148984e-05, 3.52596815e+03
2.250, 6.18696542e-03, 2.97181452e-05, 3.52496684e+03
2.350, 6.46637983e-03, 2.97214322e-05, 3.52396445e+03
2.450, 6.74618355e-03, 2.97247595e-05, 3.52296097e+03
2.550, 7.02637664e-03, 2.97281271e-05, 3.52195638e+03
2.650, 7.30696179e-03, 2.97315354e-05, 3.52095070e+03
2.750, 7.58793909e-03, 2.97349842e-05, 3.51994390e+03
2.850, 7.86931058e-03, 2.97384737e-05, 3.51893600e+03
2.950, 8.15107835e-03, 2.97420040e-05, 3.51792697e+03
