pressure [MPa], density [g/ml], viscosity [muPa*s], enthalpy [kJ/kg]
27.635, 9.43797187e-02, 3.22556852e-05, 3.22690740e+03
27.645, 9.44235636e-02, 3.22575833e-05, 3.22677146e+03
27.655, 9.44674177e-02, 3.22594824e-05, 3.22663550e+03
27.665, 9.45112809e-02, 3.22613824e-05, 3.22649953e+03
27.675, 9.45551450e-02, 3.22632829e-05, 3.22636356e+03
27.685, 9.45990266e-02, 3.22651848e-05, 3.22622756e+03
27.695, 9.46429173e-02, 3.22670876e-05, 3.22609155e+03
27.705, 9.46868173e-02, 3.22689913e-05, 3.22595552e+03
27.715, 9.47307265e-02, 3.22708960e-05, 3.22581947e+03
27.725, 9.47746448e-02, 3.22728016e-05, 3.22568342e+03
27.735, 9.48185723e-02, 3.22747082e-05, 3.22554734e+03
27.745, 9.48625091e-02, 3.22766157e-05, 3.22541126e+03
27.755, 9.49064466e-02, 3.22785238e-05, 3.22527518e+03
27.765, 9.49504017e-02, 3.22804331e-05, 3.22513907e+03
27.775, 9.49943661e-02, 3.22823434e-05, 3.22500294e+03
27.785, 9.50383396e-02, 3.22842547e-05, 3.22486680e+03
27.795, 9.50823223e-02, 3.22861669e-05, 3.22473064e+03
27.805, 9.51263143e-02, 3.22880800e-05, 3.22459447e+03
27.815, 9.51703154e-02, 3.22899941e-05, 3.22445829e+03
27.825, 9.52143258e-02, 3.22919091e-05, 3.22432209e+03
27.835, 9.52583370e-02, 3.22938247e-05, 3.22418590e+03
27.845, 9.53023658e-02, 3.22957416e-05, 3.22404968e+03
27.855, 9.53464039e-02, 3.22976595e-05, 3.22391344e+03
27.865, 9.53904511e-02, 3.22995783e-05, 3.22377718e+03
27.875, 9.54345076e-02, 3.23014980e-05, 3.22364091e+03
27.885, 9.54785733e-02, 3.23034187e-05, 3.22350463e+03
27.895, 9.55226482e-02, 3.23053403e-05, 3.22336833e+03
27.905, 9.55667324e-02, 3.23072629e-05, 3.22323202e+03
27.915, 9.56108258e-02, 3.23091864e-05, 3.22309570e+03
27.925, 9.56549201e-02, 3.23111105e-05, 3.22295938e+03
27.935, 9.56990320e-02, 3.23130359e-05, 3.22282303e+03
27.945, 9.57431531e-02, 3.23149622e-05, 3.22268666e+03
27.955, 9.57872835e-02, 3.23168895e-05, 3.22255028e+03
27.965, 9.58314231e-02, 3.23188177e-05, 3.22241389e+03
27.975, 9.58755720e-02, 3.23207469e-05, 3.22227748e+03
27.985, 9.59197301e-02, 3.23226771e-05, 3.22214106e+03
27.995, 9.59638975e-02, 3.23246081e-05, 3.22200462e+03
28.005, 9.60080657e-02, 3.23265398e-05, 3.22186820e+03
28.015, 9.60522516e-02, 3.23284728e-05, 3.22173173e+03
28.025, 9.60964468e-02, 3.23304067e-05, 3.22159525e+03
28.035, 9.61406512e-02, 3.23323416e-05, 3.22145876e+03
28.045, 9.61848649e-02, 3.23342774e-05, 3.22132225e+03
28.055, 9.62290879e-02, 3.23362142e-05, 3.22118573e+03
28.065, 9.62733202e-02, 3.23381519e-05, 3.22104920e+03
28.075, 9.63175617e-02, 3.23400906e-05, 3.22091265e+03
28.085, 9.63618040e-02, 3.23420298e-05, 3.22077611e+03
28.095, 9.64060641e-02, 3.23439704e-05, 3.22063954e+03
28.105, 9.64503335e-02, 3.23459119e-05, 3.22050294e+03
28.115, 9.64946121e-02, 3.23478544e-05, 3.22036634e+03
28.125, 9.65389000e-02, 3.23497978e-05, 3.22022972e+03
28.135, 9.65831972e-02, 3.23517422e-05, 3.22009309e+03
28.145, 9.66275038e-02, 3.23536876e-05, 3.21995644e+03
28.155, 9.66718196e-02, 3.23556338e-05, 3.21981978e+03
28.165, 9.67161447e-02, 3.23575811e-05, 3.21968311e+03
28.175, 9.67604706e-02, 3.23595289e-05, 3.21954645e+03
28.185, 9.68048143e-02, 3.23614780e-05, 3.21940974e+03
28.195, 9.68491673e-02, 3.23634281e-05, 3.21927303e+03
28.205, 9.68935296e-02, 3.23653792e-05, 3.21913630e+03
28.215, 9.69379012e-02, 3.23673312e-05, 3.21899955e+03
28.225, 9.69822822e-02, 3.23692842e-05, 3.21886279e+03
28.235, 9.70266724e-02, 3.23712381e-05, 3.21872602e+03
28.245, 9.70710720e-02, 3.23731930e-05, 3.21858924e+03
28.255, 9.71154724e-02, 3.23751484e-05, 3.21845246e+03
28.265, 9.71598906e-02, 3.23771052e-05, 3.21831565e+03
28.275, 9.72043181e-02, 3.23790630e-05, 3.21817882e+03
28.285, 9.72487549e-02, 3.23810217e-05, 3.21804198e+03
28.295, 9.72932011e-02, 3.23829813e-05, 3.21790512e+03
28.305, 9.73376566e-02, 3.23849419e-05, 3.21776825e+03
28.315, 9.73821214e-02, 3.23869035e-05, 3.21763137e+03
28.325, 9.74265956e-02, 3.23888660e-05, 3.21749447e+03
28.335, 9.74710706e-02, 3.23908292e-05, 3.21735759e+03
28.345, 9.75155635e-02, 3.23927936e-05, 3.21722066e+03
28.355, 9.75600657e-02, 3.23947590e-05, 3.21708372e+03
28.365, 9.76045772e-02, 3.23967254e-05, 3.21694677e+03
28.375, 9.76490981e-02, 3.23986927e-05, 3.21680980e+03
28.385, 9.76936283e-02, 3.24006610e-05, 3.21667282e+03
28.395, 9.77381679e-02, 3.24026303e-05, 3.21653583e+03
28.405, 9.77827169e-02, 3.24046005e-05, 3.21639882e+03
28.415, 9.78272752e-02, 3.24065716e-05, 3.21626180e+03
28.425, 9.78718343e-02, 3.24085434e-05, 3.21612479e+03
28.435, 9.79164113e-02, 3.24105165e-05, 3.21598774e+03
28.445, 9.79609977e-02, 3.24124906e-05, 3.21585067e+03
28.455, 9.80055934e-02, 3.24144656e-05, 3.21571359e+03
28.465, 9.80501986e-02, 3.24164416e-05, 3.21557650e+03
28.475, 9.80948130e-02, 3.24184185e-05, 3.21543940e+03
28.485, 9.81394369e-02, 3.24203964e-05, 3.21530228e+03
28.495, 9.81840701e-02, 3.24223753e-05, 3.21516514e+03
28.505, 9.82287042e-02, 3.24243548e-05, 3.21502802e+03
28.515, 9.82733562e-02, 3.24263356e-05, 3.21489086e+03
28.525, 9.83180176e-02, 3.24283173e-05, 3.21475369e+03
28.535, 9.83626884e-02, 3.24303001e-05, 3.21461650e+03
28.545, 9.84073685e-02, 3.24322838e-05, 3.21447929e+03
28.555, 9.84520581e-02, 3.24342684e-05, 3.21434208e+03
28.565, 9.84967570e-02, 3.24362541e-05, 3.21420485e+03
28.575, 9.85414653e-02, 3.24382407e-05, 3.21406760e+03
28.585, 9.85861745e-02, 3.24402278e-05, 3.21393037e+03
28.595, 9.86309016e-02, 3.24422164e-05, 3.21379310e+03
28.605, 9.86756382e-02, 3.24442059e-05, 3.21365581e+03
28.615, 9.87203841e-02, 3.24461963e-05, 3.21351851e+03
28.625, 9.87651394e-02, 3.24481878e-05, 3.21338120e+03
28.635, 9.88099042e-02, 3.24501802e-05, 3.21324387e+03
28.645, 9.88546783e-02, 3.24521735e-05, 3.21310653e+03
