pressure [MPa], density [g/ml], viscosity [muPa*s], enthalpy [kJ/kg]
5.000, 1.40168822e-02, 2.98235502e-05, 3.49698724e+03
15.000, 4.54820530e-02, 3.05042410e-05, 3.38692862e+03
25.000, 8.31389274e-02, 3.17871843e-05, 3.26223070e+03
35.000, 1.29307956e-01, 3.39291620e-05, 3.12318532e+03
45.000, 1.85940613e-01, 3.72348985e-05, 2.97390948e+03
55.000, 2.51726707e-01, 4.17855466e-05, 2.82657549e+03
65.000, 3.18613148e-01, 4.69934482e-05, 2.70038012e+03
75.000, 3.77600010e-01, 5.19843025e-05, 2.60502823e+03
85.000, 4.25932287e-01, 5.63566167e-05, 2.53642129e+03
95.000, 4.65179510e-01, 6.01294712e-05, 2.48659255e+03
