pressure [MPa], density [g/ml], viscosity [muPa*s], enthalpy [kJ/kg]
.500, 1.82419279e-03, 2.13902038e-05, 3.12009512e+03
1.500, 5.59177898e-03, 2.13086081e-05, 3.09751338e+03
2.500, 9.53799084e-03, 2.12337453e-05, 3.07347091e+03
3.500, 1.36916130e-02, 2.11662733e-05, 3.04780183e+03
4.500, 1.80887971e-02, 2.11070702e-05, 3.02031893e+03
5.500, 2.27756779e-02, 2.10573268e-05, 2.99078708e+03
6.500, 2.78127840e-02, 2.10186847e-05, 2.95888481e+03
7.500, 3.32824817e-02, 2.09934657e-05, 2.92415400e+03
8.500, 3.93016698e-02, 2.09850825e-05, 2.88593502e+03
9.500, 4.60447373e-02, 2.09988207e-05, 2.84326511e+03
10.500, 5.37911001e-02, 2.10434766e-05, 2.79464785e+03
11.500, 6.30435727e-02, 2.11353998e-05, 2.73740409e+03
12.500, 6.50037146e-01, 7.57633665e-05, 1.50472113e+03
13.500, 6.53928604e-01, 7.63648016e-05, 1.50167875e+03
14.500, 6.57614321e-01, 7.69390639e-05, 1.49885559e+03
15.500, 6.61119958e-01, 7.74895399e-05, 1.49622459e+03
16.500, 6.64465120e-01, 7.80187850e-05, 1.49376435e+03
17.500, 6.67665651e-01, 7.85288496e-05, 1.49145725e+03
18.500, 6.70734951e-01, 7.90214673e-05, 1.48928839e+03
19.500, 6.73684707e-01, 7.94981572e-05, 1.48724494e+03
20.500, 6.76525287e-01, 7.99602767e-05, 1.48531574e+03
21.500, 6.79265951e-01, 8.04090474e-05, 1.48349099e+03
22.500, 6.81914971e-01, 8.08455689e-05, 1.48176209e+03
23.500, 6.84479718e-01, 8.12708258e-05, 1.48012150e+03
24.500, 6.86966736e-01, 8.16856956e-05, 1.47856253e+03
25.500, 6.89381816e-01, 8.20909561e-05, 1.47707932e+03
26.500, 6.91730075e-01, 8.24872945e-05, 1.47566664e+03
27.500, 6.94016036e-01, 8.28753168e-05, 1.47431987e+03
28.500, 6.96243704e-01, 8.32555585e-05, 1.47303486e+03
29.500, 6.98416641e-01, 8.36284940e-05, 1.47180790e+03
30.500, 7.00538032e-01, 8.39945462e-05, 1.47063562e+03
31.500, 7.02610746e-01, 8.43540946e-05, 1.46951497e+03
32.500, 7.04637383e-01, 8.47074828e-05, 1.46844316e+03
33.500, 7.06620319e-01, 8.50550240e-05, 1.46741763e+03
34.500, 7.08561737e-01, 8.53970064e-05, 1.46643602e+03
35.500, 7.10463657e-01, 8.57336968e-05, 1.46549614e+03
36.500, 7.12327957e-01, 8.60653435e-05, 1.46459597e+03
37.500, 7.14156385e-01, 8.63921787e-05, 1.46373364e+03
38.500, 7.15950578e-01, 8.67144202e-05, 1.46290737e+03
39.500, 7.17712068e-01, 8.70322725e-05, 1.46211555e+03
40.500, 7.19442291e-01, 8.73459279e-05, 1.46135665e+03
41.500, 7.21142593e-01, 8.76555672e-05, 1.46062924e+03
42.500, 7.22814238e-01, 8.79613601e-05, 1.45993199e+03
43.500, 7.24458410e-01, 8.82634662e-05, 1.45926366e+03
44.500, 7.26076217e-01, 8.85620351e-05, 1.45862309e+03
45.500, 7.27668701e-01, 8.88572070e-05, 1.45800917e+03
46.500, 7.29236836e-01, 8.91491135e-05, 1.45742090e+03
47.500, 7.30781537e-01, 8.94378775e-05, 1.45685731e+03
48.500, 7.32303661e-01, 8.97236144e-05, 1.45631749e+03
49.500, 7.33804012e-01, 9.00064323e-05, 1.45580060e+03
50.500, 7.35283348e-01, 9.02864326e-05, 1.45530583e+03
51.500, 7.36742378e-01, 9.05637102e-05, 1.45483243e+03
52.500, 7.38181774e-01, 9.08383545e-05, 1.45437968e+03
53.500, 7.39602167e-01, 9.11104498e-05, 1.45394690e+03
54.500, 7.41004154e-01, 9.13800752e-05, 1.45353345e+03
55.500, 7.42388301e-01, 9.16473057e-05, 1.45313873e+03
56.500, 7.43755143e-01, 9.19122122e-05, 1.45276214e+03
57.500, 7.45105190e-01, 9.21748619e-05, 1.45240314e+03
58.500, 7.46438925e-01, 9.24353185e-05, 1.45206121e+03
59.500, 7.47756809e-01, 9.26936429e-05, 1.45173583e+03
60.500, 7.49059283e-01, 9.29498929e-05, 1.45142653e+03
61.500, 7.50346766e-01, 9.32041238e-05, 1.45113285e+03
62.500, 7.51619661e-01, 9.34563884e-05, 1.45085435e+03
63.500, 7.52878351e-01, 9.37067373e-05, 1.45059061e+03
64.500, 7.54123207e-01, 9.39552190e-05, 1.45034123e+03
65.500, 7.55354582e-01, 9.42018800e-05, 1.45010582e+03
66.500, 7.56572815e-01, 9.44467649e-05, 1.44988401e+03
67.500, 7.57778233e-01, 9.46899166e-05, 1.44967544e+03
68.500, 7.58971151e-01, 9.49313764e-05, 1.44947977e+03
69.500, 7.60151869e-01, 9.51711841e-05, 1.44929668e+03
70.500, 7.61320679e-01, 9.54093779e-05, 1.44912583e+03
71.500, 7.62477861e-01, 9.56459947e-05, 1.44896694e+03
72.500, 7.63623686e-01, 9.58810701e-05, 1.44881971e+03
73.500, 7.64758413e-01, 9.61146384e-05, 1.44868385e+03
74.500, 7.65882295e-01, 9.63467329e-05, 1.44855909e+03
75.500, 7.66995573e-01, 9.65773856e-05, 1.44844517e+03
76.500, 7.68098484e-01, 9.68066274e-05, 1.44834184e+03
77.500, 7.69191254e-01, 9.70344885e-05, 1.44824885e+03
78.500, 7.70274103e-01, 9.72609980e-05, 1.44816597e+03
79.500, 7.71347243e-01, 9.74861840e-05, 1.44809298e+03
