pressure [MPa], density [g/ml], viscosity [muPa*s], enthalpy [kJ/kg]
.050, 1.80742798e-04, 2.14289798e-05, 3.12982300e+03
.150, 5.43329492e-04, 2.14202561e-05, 3.12768327e+03
.250, 9.07399809e-04, 2.14115930e-05, 3.12553108e+03
.350, 1.27297284e-03, 2.14029911e-05, 3.12336629e+03
.450, 1.64006807e-03, 2.13944508e-05, 3.12118874e+03
.550, 2.00870558e-03, 2.13859724e-05, 3.11899825e+03
.650, 2.37890545e-03, 2.13775564e-05, 3.11679468e+03
.750, 2.75068903e-03, 2.13692034e-05, 3.11457786e+03
.850, 3.12407746e-03, 2.13609136e-05, 3.11234763e+03
.950, 3.49909241e-03, 2.13526877e-05, 3.11010384e+03
1.050, 3.87575646e-03, 2.13445261e-05, 3.10784633e+03
1.150, 4.25409271e-03, 2.13364292e-05, 3.10557493e+03
1.250, 4.63412436e-03, 2.13283977e-05, 3.10328948e+03
1.350, 5.01587533e-03, 2.13204320e-05, 3.10098983e+03
1.450, 5.39937010e-03, 2.13125327e-05, 3.09867582e+03
1.550, 5.78463323e-03, 2.13047003e-05, 3.09634729e+03
1.650, 6.17169123e-03, 2.12969354e-05, 3.09400407e+03
1.750, 6.56056981e-03, 2.12892386e-05, 3.09164600e+03
1.850, 6.95129572e-03, 2.12816104e-05, 3.08927293e+03
1.950, 7.34389632e-03, 2.12740515e-05, 3.08688469e+03
2.050, 7.73839910e-03, 2.12665626e-05, 3.08448112e+03
2.150, 8.13483407e-03, 2.12591442e-05, 3.08206205e+03
2.250, 8.53322858e-03, 2.12517970e-05, 3.07962733e+03
2.350, 8.93361348e-03, 2.12445218e-05, 3.07717678e+03
2.450, 9.33602031e-03, 2.12373192e-05, 3.07471023e+03
2.550, 9.74047840e-03, 2.12301899e-05, 3.07222752e+03
2.650, 1.01470217e-02, 2.12231348e-05, 3.06972847e+03
2.750, 1.05556809e-02, 2.12161545e-05, 3.06721292e+03
2.850, 1.09664905e-02, 2.12092499e-05, 3.06468068e+03
2.950, 1.13794857e-02, 2.12024218e-05, 3.06213157e+03
3.050, 1.17946996e-02, 2.11956710e-05, 3.05956542e+03
3.150, 1.22121699e-02, 2.11889984e-05, 3.05698204e+03
3.250, 1.26319314e-02, 2.11824049e-05, 3.05438126e+03
3.350, 1.30540226e-02, 2.11758914e-05, 3.05176286e+03
3.450, 1.34784830e-02, 2.11694589e-05, 3.04912666e+03
3.550, 1.39053499e-02, 2.11631083e-05, 3.04647247e+03
3.650, 1.43346657e-02, 2.11568406e-05, 3.04380007e+03
3.750, 1.47664696e-02, 2.11506570e-05, 3.04110926e+03
3.850, 1.52008050e-02, 2.11445584e-05, 3.03839984e+03
3.950, 1.56377164e-02, 2.11385459e-05, 3.03567156e+03
4.050, 1.60772470e-02, 2.11326207e-05, 3.03292422e+03
4.150, 1.65194417e-02, 2.11267840e-05, 3.03015759e+03
4.250, 1.69643480e-02, 2.11210370e-05, 3.02737142e+03
4.350, 1.74120142e-02, 2.11153810e-05, 3.02456548e+03
4.450, 1.78624893e-02, 2.11098171e-05, 3.02173952e+03
4.550, 1.83158262e-02, 2.11043468e-05, 3.01889325e+03
4.650, 1.87720725e-02, 2.10989714e-05, 3.01602644e+03
4.750, 1.92312838e-02, 2.10936924e-05, 3.01313880e+03
4.850, 1.96935148e-02, 2.10885112e-05, 3.01023004e+03
4.950, 2.01588219e-02, 2.10834293e-05, 3.00729988e+03
5.050, 2.06272654e-02, 2.10784483e-05, 3.00434798e+03
5.150, 2.10989004e-02, 2.10735698e-05, 3.00137407e+03
5.250, 2.15737906e-02, 2.10687954e-05, 2.99837781e+03
5.350, 2.20519991e-02, 2.10641270e-05, 2.99535885e+03
5.450, 2.25335911e-02, 2.10595662e-05, 2.99231685e+03
5.550, 2.30186358e-02, 2.10551150e-05, 2.98925142e+03
5.650, 2.35071978e-02, 2.10507752e-05, 2.98616223e+03
5.750, 2.39993507e-02, 2.10465488e-05, 2.98304886e+03
5.850, 2.44951679e-02, 2.10424378e-05, 2.97991092e+03
5.950, 2.49947254e-02, 2.10384444e-05, 2.97674799e+03
6.050, 2.54981037e-02, 2.10345708e-05, 2.97355961e+03
6.150, 2.60053791e-02, 2.10308192e-05, 2.97034537e+03
6.250, 2.65166374e-02, 2.10271921e-05, 2.96710478e+03
6.350, 2.70319651e-02, 2.10236918e-05, 2.96383736e+03
6.450, 2.75514514e-02, 2.10203208e-05, 2.96054261e+03
6.550, 2.80751912e-02, 2.10170819e-05, 2.95721998e+03
6.650, 2.86032751e-02, 2.10139777e-05, 2.95386898e+03
6.750, 2.91358047e-02, 2.10110111e-05, 2.95048902e+03
6.850, 2.96728825e-02, 2.10081850e-05, 2.94707953e+03
6.950, 3.02146147e-02, 2.10055026e-05, 2.94363990e+03
7.050, 3.07611143e-02, 2.10029669e-05, 2.94016948e+03
7.150, 3.13124901e-02, 2.10005814e-05, 2.93666767e+03
7.250, 3.18688634e-02, 2.09983495e-05, 2.93313377e+03
7.350, 3.24303573e-02, 2.09962748e-05, 2.92956709e+03
7.450, 3.29970997e-02, 2.09943610e-05, 2.92596690e+03
7.550, 3.35692262e-02, 2.09926121e-05, 2.92233244e+03
7.650, 3.41468694e-02, 2.09910321e-05, 2.91866296e+03
7.750, 3.47301758e-02, 2.09896254e-05, 2.91495764e+03
7.850, 3.53192950e-02, 2.09883964e-05, 2.91121563e+03
7.950, 3.59143826e-02, 2.09873497e-05, 2.90743607e+03
8.050, 3.65156040e-02, 2.09864902e-05, 2.90361804e+03
8.150, 3.71231195e-02, 2.09858231e-05, 2.89976065e+03
8.250, 3.77371172e-02, 2.09853537e-05, 2.89586285e+03
8.350, 3.83577758e-02, 2.09850876e-05, 2.89192367e+03
8.450, 3.89852815e-02, 2.09850306e-05, 2.88794209e+03
8.550, 3.96198476e-02, 2.09851890e-05, 2.88391693e+03
8.650, 4.02616724e-02, 2.09855691e-05, 2.87984712e+03
8.750, 4.09109886e-02, 2.09861779e-05, 2.87573140e+03
8.850, 4.15680209e-02, 2.09870225e-05, 2.87156854e+03
8.950, 4.22330051e-02, 2.09881103e-05, 2.86735729e+03
9.050, 4.29062081e-02, 2.09894495e-05, 2.86309621e+03
9.150, 4.35878843e-02, 2.09910482e-05, 2.85878394e+03
9.250, 4.42783275e-02, 2.09929154e-05, 2.85441890e+03
9.350, 4.49778271e-02, 2.09950605e-05, 2.84999955e+03
9.450, 4.56866882e-02, 2.09974932e-05, 2.84552429e+03
9.550, 4.64052533e-02, 2.10002242e-05, 2.84099127e+03
9.650, 4.71338567e-02, 2.10032643e-05, 2.83639875e+03
9.750, 4.78728800e-02, 2.10066255e-05, 2.83174468e+03
9.850, 4.86227063e-02, 2.10103203e-05, 2.82702705e+03
9.950, 4.93837416e-02, 2.10143619e-05, 2.82224371e+03
10.050, 5.01564400e-02, 2.10187647e-05, 2.81739224e+03
10.150, 5.09412542e-02, 2.10235435e-05, 2.81247027e+03
10.250, 5.17386975e-02, 2.10287148e-05, 2.80747506e+03
10.350, 5.25492943e-02, 2.10342959e-05, 2.80240383e+03
10.450, 5.33736057e-02, 2.10403052e-05, 2.79725362e+03
10.550, 5.42122570e-02, 2.10467628e-05, 2.79202108e+03
10.650, 5.50658866e-02, 2.10536901e-05, 2.78670283e+03
10.750, 5.59352150e-02, 2.10611104e-05, 2.78129498e+03
10.850, 5.68209934e-02, 2.10690487e-05, 2.77579353e+03
10.950, 5.77240340e-02, 2.10775321e-05, 2.77019410e+03
11.050, 5.86452442e-02, 2.10865903e-05, 2.76449176e+03
11.150, 5.95855740e-02, 2.10962552e-05, 2.75868136e+03
11.250, 6.05460971e-02, 2.11065620e-05, 2.75275698e+03
11.350, 6.15279602e-02, 2.11175494e-05, 2.74671231e+03
11.450, 6.25324243e-02, 2.11292593e-05, 2.74054032e+03
11.550, 6.35609113e-02, 2.11417390e-05, 2.73423299e+03
11.650, 6.46149578e-02, 2.11550399e-05, 2.72778160e+03
11.750, 6.56963200e-02, 2.11692204e-05, 2.72117603e+03
11.850, 6.68069352e-02, 2.11843450e-05, 2.71440503e+03
11.950, 6.79489910e-02, 2.12004869e-05, 2.70745571e+03
12.050, 6.91250075e-02, 2.12177292e-05, 2.70031308e+03
12.150, 7.03378222e-02, 2.12361666e-05, 2.69296008e+03
12.250, 7.15907561e-02, 2.12559086e-05, 2.68537660e+03
12.350, 6.49433659e-01, 7.56705378e-05, 1.50519845e+03
12.450, 6.49836589e-01, 7.57325038e-05, 1.50487959e+03
12.550, 6.50237102e-01, 7.57941499e-05, 1.50456330e+03
12.650, 6.50635232e-01, 7.58554808e-05, 1.50424952e+03
12.750, 6.51031026e-01, 7.59165029e-05, 1.50393822e+03
12.850, 6.51424520e-01, 7.59772208e-05, 1.50362936e+03
12.950, 6.51815746e-01, 7.60376390e-05, 1.50332290e+03
13.050, 6.52204750e-01, 7.60977635e-05, 1.50301880e+03
13.150, 6.52591557e-01, 7.61575978e-05, 1.50271705e+03
13.250, 6.52976210e-01, 7.62171475e-05, 1.50241758e+03
13.350, 6.53358736e-01, 7.62764163e-05, 1.50212038e+03
13.450, 6.53739164e-01, 7.63354080e-05, 1.50182541e+03
13.550, 6.54117532e-01, 7.63941276e-05, 1.50153264e+03
13.650, 6.54493861e-01, 7.64525780e-05, 1.50124205e+03
13.750, 6.54868186e-01, 7.65107640e-05, 1.50095359e+03
13.850, 6.55240534e-01, 7.65686887e-05, 1.50066724e+03
13.950, 6.55610925e-01, 7.66263552e-05, 1.50038298e+03
14.050, 6.55979394e-01, 7.66837679e-05, 1.50010077e+03
14.150, 6.56345959e-01, 7.67409291e-05, 1.49982060e+03
14.250, 6.56710650e-01, 7.67978431e-05, 1.49954242e+03
14.350, 6.57073489e-01, 7.68545125e-05, 1.49926623e+03
14.450, 6.57434495e-01, 7.69109397e-05, 1.49899199e+03
14.550, 6.57793698e-01, 7.69671288e-05, 1.49871967e+03
14.650, 6.58151112e-01, 7.70230816e-05, 1.49844927e+03
14.750, 6.58506765e-01, 7.70788020e-05, 1.49818074e+03
14.850, 6.58860676e-01, 7.71342920e-05, 1.49791407e+03
14.950, 6.59212861e-01, 7.71895540e-05, 1.49764925e+03
15.050, 6.59563346e-01, 7.72445914e-05, 1.49738623e+03
15.150, 6.59912144e-01, 7.72994058e-05, 1.49712502e+03
15.250, 6.60259281e-01, 7.73540006e-05, 1.49686557e+03
15.350, 6.60604772e-01, 7.74083777e-05, 1.49660788e+03
15.450, 6.60948631e-01, 7.74625390e-05, 1.49635193e+03
15.550, 6.61290884e-01, 7.75164878e-05, 1.49609769e+03
15.650, 6.61631539e-01, 7.75702253e-05, 1.49584514e+03
15.750, 6.61970622e-01, 7.76237547e-05, 1.49559427e+03
15.850, 6.62308146e-01, 7.76770776e-05, 1.49534505e+03
15.950, 6.62644123e-01, 7.77301957e-05, 1.49509748e+03
16.050, 6.62978572e-01, 7.77831115e-05, 1.49485153e+03
16.150, 6.63311513e-01, 7.78358276e-05, 1.49460718e+03
16.250, 6.63642958e-01, 7.78883455e-05, 1.49436442e+03
16.350, 6.63972922e-01, 7.79406670e-05, 1.49412323e+03
16.450, 6.64301420e-01, 7.79927942e-05, 1.49388359e+03
16.550, 6.64628459e-01, 7.80447279e-05, 1.49364549e+03
16.650, 6.64954068e-01, 7.80964719e-05, 1.49340891e+03
16.750, 6.65278254e-01, 7.81480272e-05, 1.49317384e+03
16.850, 6.65601031e-01, 7.81993954e-05, 1.49294025e+03
16.950, 6.65922412e-01, 7.82505784e-05, 1.49270815e+03
17.050, 6.66242405e-01, 7.83015770e-05, 1.49247750e+03
17.150, 6.66561036e-01, 7.83523948e-05, 1.49224829e+03
17.250, 6.66878311e-01, 7.84030325e-05, 1.49202052e+03
17.350, 6.67194244e-01, 7.84534919e-05, 1.49179416e+03
17.450, 6.67508847e-01, 7.85037745e-05, 1.49156920e+03
17.550, 6.67822127e-01, 7.85538811e-05, 1.49134564e+03
17.650, 6.68134108e-01, 7.86038151e-05, 1.49112344e+03
17.750, 6.68444797e-01, 7.86535772e-05, 1.49090260e+03
17.850, 6.68754205e-01, 7.87031690e-05, 1.49068311e+03
17.950, 6.69062345e-01, 7.87525919e-05, 1.49046496e+03
18.050, 6.69369222e-01, 7.88018467e-05, 1.49024813e+03
18.150, 6.69674860e-01, 7.88509367e-05, 1.49003260e+03
18.250, 6.69979265e-01, 7.88998624e-05, 1.48981837e+03
18.350, 6.70282447e-01, 7.89486254e-05, 1.48960543e+03
18.450, 6.70584419e-01, 7.89972270e-05, 1.48939375e+03
18.550, 6.70885184e-01, 7.90456679e-05, 1.48918334e+03
18.650, 6.71184767e-01, 7.90939512e-05, 1.48897417e+03
18.750, 6.71483171e-01, 7.91420775e-05, 1.48876623e+03
18.850, 6.71780409e-01, 7.91900482e-05, 1.48855952e+03
18.950, 6.72076489e-01, 7.92378647e-05, 1.48835402e+03
19.050, 6.72371417e-01, 7.92855273e-05, 1.48814972e+03
19.150, 6.72665215e-01, 7.93330394e-05, 1.48794661e+03
19.250, 6.72957888e-01, 7.93804013e-05, 1.48774468e+03
19.350, 6.73249444e-01, 7.94276143e-05, 1.48754392e+03
19.450, 6.73539896e-01, 7.94746798e-05, 1.48734431e+03
19.550, 6.73829245e-01, 7.95215982e-05, 1.48714586e+03
19.650, 6.74117515e-01, 7.95683725e-05, 1.48694853e+03
19.750, 6.74404708e-01, 7.96150031e-05, 1.48675233e+03
19.850, 6.74690834e-01, 7.96614914e-05, 1.48655725e+03
19.950, 6.74975903e-01, 7.97078384e-05, 1.48636327e+03
20.050, 6.75259918e-01, 7.97540446e-05, 1.48617040e+03
20.150, 6.75542901e-01, 7.98001129e-05, 1.48597860e+03
20.250, 6.75824853e-01, 7.98460438e-05, 1.48578788e+03
20.350, 6.76105785e-01, 7.98918383e-05, 1.48559823e+03
20.450, 6.76385706e-01, 7.99374977e-05, 1.48540964e+03
20.550, 6.76664619e-01, 7.99830223e-05, 1.48522210e+03
20.650, 6.76942543e-01, 8.00284149e-05, 1.48503559e+03
20.750, 6.77219481e-01, 8.00736758e-05, 1.48485011e+03
20.850, 6.77495443e-01, 8.01188062e-05, 1.48466565e+03
20.950, 6.77770436e-01, 8.01638073e-05, 1.48448221e+03
21.050, 6.78044464e-01, 8.02086791e-05, 1.48429977e+03
21.150, 6.78317546e-01, 8.02534246e-05, 1.48411833e+03
21.250, 6.78589684e-01, 8.02980441e-05, 1.48393787e+03
21.350, 6.78860887e-01, 8.03425384e-05, 1.48375839e+03
21.450, 6.79131162e-01, 8.03869088e-05, 1.48357988e+03
21.550, 6.79400512e-01, 8.04311555e-05, 1.48340233e+03
21.650, 6.79668956e-01, 8.04752811e-05, 1.48322574e+03
21.750, 6.79936495e-01, 8.05192858e-05, 1.48305009e+03
21.850, 6.80203138e-01, 8.05631707e-05, 1.48287538e+03
21.950, 6.80468892e-01, 8.06069368e-05, 1.48270159e+03
22.050, 6.80733760e-01, 8.06505842e-05, 1.48252874e+03
22.150, 6.80997758e-01, 8.06941156e-05, 1.48235680e+03
22.250, 6.81260890e-01, 8.07375311e-05, 1.48218576e+03
22.350, 6.81523162e-01, 8.07808317e-05, 1.48201562e+03
22.450, 6.81784582e-01, 8.08240184e-05, 1.48184638e+03
22.550, 6.82045151e-01, 8.08670912e-05, 1.48167803e+03
22.650, 6.82304886e-01, 8.09100527e-05, 1.48151055e+03
22.750, 6.82563790e-01, 8.09529031e-05, 1.48134394e+03
22.850, 6.82821868e-01, 8.09956432e-05, 1.48117820e+03
22.950, 6.83079129e-01, 8.10382739e-05, 1.48101332e+03
23.050, 6.83335572e-01, 8.10807953e-05, 1.48084929e+03
23.150, 6.83591216e-01, 8.11232099e-05, 1.48068610e+03
23.250, 6.83846061e-01, 8.11655178e-05, 1.48052375e+03
23.350, 6.84100114e-01, 8.12077198e-05, 1.48036223e+03
23.450, 6.84353380e-01, 8.12498168e-05, 1.48020154e+03
23.550, 6.84605862e-01, 8.12918088e-05, 1.48004166e+03
23.650, 6.84857576e-01, 8.13336982e-05, 1.47988260e+03
23.750, 6.85108521e-01, 8.13754850e-05, 1.47972435e+03
23.850, 6.85358706e-01, 8.14171700e-05, 1.47956689e+03
23.950, 6.85608134e-01, 8.14587542e-05, 1.47941023e+03
24.050, 6.85856808e-01, 8.15002373e-05, 1.47925436e+03
24.150, 6.86104743e-01, 8.15416218e-05, 1.47909927e+03
24.250, 6.86351940e-01, 8.15829077e-05, 1.47894496e+03
24.350, 6.86598404e-01, 8.16240958e-05, 1.47879141e+03
24.450, 6.86844141e-01, 8.16651867e-05, 1.47863864e+03
24.550, 6.87089151e-01, 8.17061804e-05, 1.47848662e+03
24.650, 6.87333451e-01, 8.17470793e-05, 1.47833536e+03
24.750, 6.87577039e-01, 8.17878833e-05, 1.47818484e+03
24.850, 6.87819922e-01, 8.18285930e-05, 1.47803507e+03
24.950, 6.88062105e-01, 8.18692092e-05, 1.47788604e+03
25.050, 6.88303588e-01, 8.19097318e-05, 1.47773774e+03
25.150, 6.88544386e-01, 8.19501630e-05, 1.47759017e+03
25.250, 6.88784499e-01, 8.19905028e-05, 1.47744332e+03
25.350, 6.89023932e-01, 8.20307518e-05, 1.47729718e+03
25.450, 6.89262691e-01, 8.20709106e-05, 1.47715176e+03
25.550, 6.89500774e-01, 8.21109793e-05, 1.47700705e+03
25.650, 6.89738197e-01, 8.21509598e-05, 1.47686304e+03
25.750, 6.89974959e-01, 8.21908522e-05, 1.47671973e+03
25.850, 6.90211065e-01, 8.22306569e-05, 1.47657711e+03
25.950, 6.90446520e-01, 8.22703748e-05, 1.47643517e+03
26.050, 6.90681323e-01, 8.23100055e-05, 1.47629393e+03
26.150, 6.90915489e-01, 8.23495513e-05, 1.47615336e+03
26.250, 6.91149018e-01, 8.23890119e-05, 1.47601346e+03
26.350, 6.91381913e-01, 8.24283880e-05, 1.47587423e+03
26.450, 6.91614179e-01, 8.24676801e-05, 1.47573567e+03
26.550, 6.91845815e-01, 8.25068881e-05, 1.47559778e+03
26.650, 6.92076836e-01, 8.25460140e-05, 1.47546053e+03
26.750, 6.92307241e-01, 8.25850576e-05, 1.47532394e+03
26.850, 6.92537033e-01, 8.26240196e-05, 1.47518800e+03
26.950, 6.92766218e-01, 8.26629004e-05, 1.47505270e+03
27.050, 6.92994794e-01, 8.27016998e-05, 1.47491804e+03
27.150, 6.93222774e-01, 8.27404199e-05, 1.47478401e+03
27.250, 6.93450159e-01, 8.27790604e-05, 1.47465062e+03
27.350, 6.93676951e-01, 8.28176220e-05, 1.47451785e+03
27.450, 6.93903155e-01, 8.28561049e-05, 1.47438571e+03
27.550, 6.94128771e-01, 8.28945092e-05, 1.47425419e+03
27.650, 6.94353810e-01, 8.29328367e-05, 1.47412328e+03
27.750, 6.94578271e-01, 8.29710871e-05, 1.47399298e+03
27.850, 6.94802160e-01, 8.30092611e-05, 1.47386329e+03
27.950, 6.95025479e-01, 8.30473590e-05, 1.47373420e+03
28.050, 6.95248228e-01, 8.30853807e-05, 1.47360572e+03
28.150, 6.95470418e-01, 8.31233279e-05, 1.47347783e+03
28.250, 6.95692050e-01, 8.31612006e-05, 1.47335053e+03
28.350, 6.95913126e-01, 8.31989991e-05, 1.47322382e+03
28.450, 6.96133650e-01, 8.32367239e-05, 1.47309770e+03
28.550, 6.96353621e-01, 8.32743748e-05, 1.47297216e+03
