pressure [MPa], density [g/ml], viscosity [muPa*s], enthalpy [kJ/kg]
.005, 1.80578629e-05, 2.14329252e-05, 3.13078187e+03
.015, 5.41845169e-05, 2.14320474e-05, 3.13056900e+03
.025, 9.03257604e-05, 2.14311702e-05, 3.13035601e+03
.035, 1.26481605e-04, 2.14302936e-05, 3.13014290e+03
.045, 1.62652079e-04, 2.14294176e-05, 3.12992967e+03
.055, 1.98837180e-04, 2.14285422e-05, 3.12971631e+03
.065, 2.35036941e-04, 2.14276674e-05, 3.12950283e+03
.075, 2.71251407e-04, 2.14267932e-05, 3.12928923e+03
.085, 3.07480542e-04, 2.14259196e-05, 3.12907550e+03
.095, 3.43724392e-04, 2.14250466e-05, 3.12886165e+03
.105, 3.79982975e-04, 2.14241742e-05, 3.12864768e+03
.115, 4.16256337e-04, 2.14233025e-05, 3.12843358e+03
.125, 4.52544443e-04, 2.14224313e-05, 3.12821936e+03
.135, 4.88847365e-04, 2.14215608e-05, 3.12800502e+03
.145, 5.25165041e-04, 2.14206908e-05, 3.12779055e+03
.155, 5.61497599e-04, 2.14198215e-05, 3.12757595e+03
.165, 5.97845001e-04, 2.14189527e-05, 3.12736124e+03
.175, 6.34207215e-04, 2.14180846e-05, 3.12714639e+03
.185, 6.70584366e-04, 2.14172171e-05, 3.12693143e+03
.195, 7.06976365e-04, 2.14163502e-05, 3.12671633e+03
.205, 7.43383339e-04, 2.14154839e-05, 3.12650112e+03
.215, 7.79805255e-04, 2.14146182e-05, 3.12628577e+03
.225, 8.16242075e-04, 2.14137531e-05, 3.12607031e+03
.235, 8.52693929e-04, 2.14128886e-05, 3.12585471e+03
.245, 8.89160780e-04, 2.14120247e-05, 3.12563899e+03
.255, 9.25642594e-04, 2.14111615e-05, 3.12542315e+03
.265, 9.62139445e-04, 2.14102988e-05, 3.12520717e+03
.275, 9.98651460e-04, 2.14094368e-05, 3.12499107e+03
.285, 1.03517844e-03, 2.14085754e-05, 3.12477485e+03
.295, 1.07172052e-03, 2.14077146e-05, 3.12455850e+03
.305, 1.10827781e-03, 2.14068544e-05, 3.12434202e+03
.315, 1.14485014e-03, 2.14059948e-05, 3.12412541e+03
.325, 1.18143761e-03, 2.14051359e-05, 3.12390868e+03
.335, 1.21804037e-03, 2.14042775e-05, 3.12369182e+03
.345, 1.25465821e-03, 2.14034198e-05, 3.12347484e+03
.355, 1.29129126e-03, 2.14025626e-05, 3.12325772e+03
.365, 1.32793966e-03, 2.14017061e-05, 3.12304048e+03
.375, 1.36460319e-03, 2.14008503e-05, 3.12282311e+03
.385, 1.40128200e-03, 2.13999950e-05, 3.12260561e+03
.395, 1.43797621e-03, 2.13991403e-05, 3.12238798e+03
.405, 1.47468561e-03, 2.13982863e-05, 3.12217023e+03
.415, 1.51141035e-03, 2.13974329e-05, 3.12195234e+03
.425, 1.54815055e-03, 2.13965801e-05, 3.12173433e+03
.435, 1.58490601e-03, 2.13957279e-05, 3.12151619e+03
.445, 1.62167687e-03, 2.13948763e-05, 3.12129792e+03
.455, 1.65846324e-03, 2.13940254e-05, 3.12107952e+03
.465, 1.69526493e-03, 2.13931751e-05, 3.12086099e+03
.475, 1.73208208e-03, 2.13923254e-05, 3.12064233e+03
.485, 1.76891481e-03, 2.13914763e-05, 3.12042355e+03
.495, 1.80576292e-03, 2.13906278e-05, 3.12020463e+03
.505, 1.84262654e-03, 2.13897800e-05, 3.11998558e+03
.515, 1.87950570e-03, 2.13889328e-05, 3.11976640e+03
.525, 1.91640040e-03, 2.13880862e-05, 3.11954709e+03
.535, 1.95331091e-03, 2.13872402e-05, 3.11932765e+03
.545, 1.99023678e-03, 2.13863948e-05, 3.11910809e+03
.555, 2.02717828e-03, 2.13855501e-05, 3.11888839e+03
.565, 2.06413541e-03, 2.13847060e-05, 3.11866855e+03
.575, 2.10110819e-03, 2.13838625e-05, 3.11844859e+03
.585, 2.13809665e-03, 2.13830197e-05, 3.11822850e+03
.595, 2.17510103e-03, 2.13821775e-05, 3.11800827e+03
.605, 2.21212091e-03, 2.13813359e-05, 3.11778792e+03
.615, 2.24915653e-03, 2.13804949e-05, 3.11756743e+03
.625, 2.28620791e-03, 2.13796546e-05, 3.11734681e+03
.635, 2.32327507e-03, 2.13788148e-05, 3.11712606e+03
.645, 2.36035804e-03, 2.13779758e-05, 3.11690517e+03
.655, 2.39745682e-03, 2.13771373e-05, 3.11668416e+03
.665, 2.43457168e-03, 2.13762995e-05, 3.11646300e+03
.675, 2.47170218e-03, 2.13754623e-05, 3.11624172e+03
.685, 2.50884856e-03, 2.13746257e-05, 3.11602031e+03
.695, 2.54601086e-03, 2.13737897e-05, 3.11579876e+03
.705, 2.58318908e-03, 2.13729544e-05, 3.11557708e+03
.715, 2.62038326e-03, 2.13721198e-05, 3.11535526e+03
.725, 2.65759363e-03, 2.13712857e-05, 3.11513332e+03
.735, 2.69481978e-03, 2.13704523e-05, 3.11491123e+03
.745, 2.73206193e-03, 2.13696195e-05, 3.11468902e+03
.755, 2.76932013e-03, 2.13687874e-05, 3.11446667e+03
.765, 2.80659439e-03, 2.13679559e-05, 3.11424419e+03
.775, 2.84388472e-03, 2.13671250e-05, 3.11402157e+03
.785, 2.88119138e-03, 2.13662947e-05, 3.11379881e+03
.795, 2.91851395e-03, 2.13654651e-05, 3.11357593e+03
.805, 2.95585266e-03, 2.13646361e-05, 3.11335291e+03
.815, 2.99320753e-03, 2.13638078e-05, 3.11312975e+03
.825, 3.03057860e-03, 2.13629801e-05, 3.11290646e+03
.835, 3.06796588e-03, 2.13621530e-05, 3.11268303e+03
.845, 3.10536961e-03, 2.13613266e-05, 3.11245947e+03
.855, 3.14278938e-03, 2.13605008e-05, 3.11223577e+03
.865, 3.18022543e-03, 2.13596756e-05, 3.11201194e+03
.875, 3.21767777e-03, 2.13588511e-05, 3.11178797e+03
.885, 3.25514644e-03, 2.13580273e-05, 3.11156386e+03
.895, 3.29263145e-03, 2.13572040e-05, 3.11133962e+03
.905, 3.33013283e-03, 2.13563814e-05, 3.11111524e+03
.915, 3.36765083e-03, 2.13555595e-05, 3.11089072e+03
.925, 3.40518501e-03, 2.13547382e-05, 3.11066607e+03
.935, 3.44273562e-03, 2.13539175e-05, 3.11044128e+03
.945, 3.48030270e-03, 2.13530975e-05, 3.11021636e+03
.955, 3.51788625e-03, 2.13522781e-05, 3.10999130e+03
.965, 3.55548630e-03, 2.13514593e-05, 3.10976610e+03
.975, 3.59310310e-03, 2.13506412e-05, 3.10954076e+03
.985, 3.63073623e-03, 2.13498238e-05, 3.10931528e+03
.995, 3.66838592e-03, 2.13490070e-05, 3.10908967e+03
1.005, 3.70605221e-03, 2.13481908e-05, 3.10886392e+03
1.015, 3.74373511e-03, 2.13473753e-05, 3.10863803e+03
1.025, 3.78143466e-03, 2.13465604e-05, 3.10841200e+03
1.035, 3.81915086e-03, 2.13457462e-05, 3.10818584e+03
1.045, 3.85688375e-03, 2.13449326e-05, 3.10795953e+03
