pressure [MPa], density [g/ml], viscosity [muPa*s], enthalpy [kJ/kg]
5.000, 2.03926482e-02, 2.10809261e-05, 3.00582666e+03
15.000, 6.59388315e-01, 7.72171007e-05, 1.49751752e+03
25.000, 6.88182933e-01, 8.18894820e-05, 1.47781180e+03
35.000, 7.09517514e-01, 8.55659972e-05, 1.46596099e+03
45.000, 7.26875562e-01, 8.87100373e-05, 1.45831286e+03
55.000, 7.41698424e-01, 9.15139853e-05, 1.45333379e+03
65.000, 7.54740558e-01, 9.40787743e-05, 1.45022181e+03
75.000, 7.66440244e-01, 9.64622375e-05, 1.44850079e+03
85.000, 7.77084899e-01, 9.87022387e-05, 1.44785865e+03
95.000, 7.86878784e-01, 1.00826013e-04, 1.44807912e+03
