pressure [MPa], density [g/ml], viscosity [muPa*s], enthalpy [kJ/kg]
.500, 9.96736611e-01, 8.53706475e-04, 1.13032108e+02
1.500, 9.97183808e-01, 8.53618792e-04, 1.13952315e+02
2.500, 9.97630118e-01, 8.53534065e-04, 1.14871800e+02
3.500, 9.98075541e-01, 8.53452294e-04, 1.15790567e+02
4.500, 9.98520081e-01, 8.53373480e-04, 1.16708617e+02
5.500, 9.98963739e-01, 8.53297625e-04, 1.17625954e+02
6.500, 9.99406517e-01, 8.53224728e-04, 1.18542580e+02
7.500, 9.99848418e-01, 8.53154792e-04, 1.19458497e+02
8.500, 1.00028944e+00, 8.53087815e-04, 1.20373710e+02
9.500, 1.00072959e+00, 8.53023798e-04, 1.21288219e+02
10.500, 1.00116887e+00, 8.52962741e-04, 1.22202028e+02
11.500, 1.00160728e+00, 8.52904645e-04, 1.23115139e+02
12.500, 1.00204482e+00, 8.52849509e-04, 1.24027555e+02
13.500, 1.00248149e+00, 8.52797332e-04, 1.24939278e+02
14.500, 1.00291730e+00, 8.52748115e-04, 1.25850312e+02
15.500, 1.00335224e+00, 8.52701856e-04, 1.26760658e+02
16.500, 1.00378633e+00, 8.52658556e-04, 1.27670320e+02
17.500, 1.00421955e+00, 8.52618212e-04, 1.28579299e+02
18.500, 1.00465192e+00, 8.52580824e-04, 1.29487599e+02
19.500, 1.00508344e+00, 8.52546392e-04, 1.30395222e+02
20.500, 1.00551410e+00, 8.52514913e-04, 1.31302171e+02
21.500, 1.00594391e+00, 8.52486386e-04, 1.32208448e+02
22.500, 1.00637287e+00, 8.52460811e-04, 1.33114055e+02
23.500, 1.00680098e+00, 8.52438185e-04, 1.34018996e+02
24.500, 1.00722825e+00, 8.52418507e-04, 1.34923273e+02
25.500, 1.00765467e+00, 8.52401774e-04, 1.35826888e+02
26.500, 1.00808025e+00, 8.52387986e-04, 1.36729844e+02
27.500, 1.00850499e+00, 8.52377139e-04, 1.37632144e+02
28.500, 1.00892890e+00, 8.52369232e-04, 1.38533789e+02
29.500, 1.00935196e+00, 8.52364263e-04, 1.39434783e+02
30.500, 1.00977420e+00, 8.52362229e-04, 1.40335128e+02
31.500, 1.01019560e+00, 8.52363128e-04, 1.41234827e+02
32.500, 1.01061617e+00, 8.52366957e-04, 1.42133881e+02
33.500, 1.01103591e+00, 8.52373713e-04, 1.43032294e+02
34.500, 1.01145482e+00, 8.52383394e-04, 1.43930069e+02
35.500, 1.01187291e+00, 8.52395997e-04, 1.44827206e+02
36.500, 1.01229018e+00, 8.52411520e-04, 1.45723710e+02
37.500, 1.01270662e+00, 8.52429958e-04, 1.46619582e+02
38.500, 1.01312225e+00, 8.52451309e-04, 1.47514825e+02
39.500, 1.01353706e+00, 8.52475570e-04, 1.48409441e+02
40.500, 1.01395106e+00, 8.52502737e-04, 1.49303433e+02
41.500, 1.01436424e+00, 8.52532807e-04, 1.50196803e+02
42.500, 1.01477661e+00, 8.52565777e-04, 1.51089554e+02
43.500, 1.01518817e+00, 8.52601643e-04, 1.51981688e+02
44.500, 1.01559892e+00, 8.52640402e-04, 1.52873207e+02
45.500, 1.01600887e+00, 8.52682049e-04, 1.53764114e+02
46.500, 1.01641802e+00, 8.52726581e-04, 1.54654411e+02
47.500, 1.01682636e+00, 8.52773995e-04, 1.55544101e+02
48.500, 1.01723391e+00, 8.52824285e-04, 1.56433186e+02
49.500, 1.01764066e+00, 8.52877449e-04, 1.57321668e+02
50.500, 1.01804661e+00, 8.52933483e-04, 1.58209550e+02
51.500, 1.01845177e+00, 8.52992382e-04, 1.59096835e+02
52.500, 1.01885613e+00, 8.53054141e-04, 1.59983523e+02
53.500, 1.01925971e+00, 8.53118758e-04, 1.60869618e+02
54.500, 1.01966250e+00, 8.53186227e-04, 1.61755123e+02
55.500, 1.02006451e+00, 8.53256544e-04, 1.62640038e+02
56.500, 1.02046573e+00, 8.53329706e-04, 1.63524368e+02
57.500, 1.02086617e+00, 8.53405706e-04, 1.64408113e+02
58.500, 1.02126584e+00, 8.53484542e-04, 1.65291277e+02
59.500, 1.02166472e+00, 8.53566208e-04, 1.66173861e+02
60.500, 1.02206283e+00, 8.53650699e-04, 1.67055868e+02
61.500, 1.02246017e+00, 8.53738012e-04, 1.67937300e+02
62.500, 1.02285674e+00, 8.53828141e-04, 1.68818159e+02
63.500, 1.02325254e+00, 8.53921082e-04, 1.69698449e+02
64.500, 1.02364758e+00, 8.54016829e-04, 1.70578169e+02
65.500, 1.02404185e+00, 8.54115379e-04, 1.71457324e+02
66.500, 1.02443536e+00, 8.54216726e-04, 1.72335916e+02
67.500, 1.02482811e+00, 8.54320865e-04, 1.73213946e+02
68.500, 1.02522010e+00, 8.54427792e-04, 1.74091416e+02
69.500, 1.02561133e+00, 8.54537501e-04, 1.74968329e+02
70.500, 1.02600182e+00, 8.54649988e-04, 1.75844688e+02
71.500, 1.02639155e+00, 8.54765247e-04, 1.76720493e+02
72.500, 1.02678053e+00, 8.54883273e-04, 1.77595749e+02
73.500, 1.02716877e+00, 8.55004062e-04, 1.78470455e+02
74.500, 1.02755627e+00, 8.55127608e-04, 1.79344616e+02
75.500, 1.02794302e+00, 8.55253906e-04, 1.80218232e+02
76.500, 1.02832903e+00, 8.55382951e-04, 1.81091306e+02
77.500, 1.02871431e+00, 8.55514738e-04, 1.81963840e+02
78.500, 1.02909885e+00, 8.55649261e-04, 1.82835837e+02
79.500, 1.02948266e+00, 8.55786516e-04, 1.83707298e+02
80.500, 1.02986574e+00, 8.55926497e-04, 1.84578225e+02
81.500, 1.03024809e+00, 8.56069199e-04, 1.85448620e+02
82.500, 1.03062972e+00, 8.56214617e-04, 1.86318487e+02
83.500, 1.03101062e+00, 8.56362745e-04, 1.87187825e+02
84.500, 1.03139081e+00, 8.56513579e-04, 1.88056639e+02
85.500, 1.03177027e+00, 8.56667112e-04, 1.88924929e+02
86.500, 1.03214902e+00, 8.56823340e-04, 1.89792698e+02
87.500, 1.03252706e+00, 8.56982258e-04, 1.90659948e+02
88.500, 1.03290438e+00, 8.57143860e-04, 1.91526680e+02
89.500, 1.03328100e+00, 8.57308140e-04, 1.92392898e+02
90.500, 1.03365691e+00, 8.57475094e-04, 1.93258602e+02
91.500, 1.03403212e+00, 8.57644717e-04, 1.94123795e+02
92.500, 1.03440663e+00, 8.57817002e-04, 1.94988478e+02
93.500, 1.03478044e+00, 8.57991945e-04, 1.95852655e+02
94.500, 1.03515355e+00, 8.58169541e-04, 1.96716326e+02
95.500, 1.03552597e+00, 8.58349784e-04, 1.97579493e+02
96.500, 1.03589770e+00, 8.58532669e-04, 1.98442160e+02
97.500, 1.03626875e+00, 8.58718191e-04, 1.99304327e+02
98.500, 1.03663910e+00, 8.58906344e-04, 2.00165996e+02
99.500, 1.03700878e+00, 8.59097124e-04, 2.01027169e+02
