pressure [MPa], density [g/ml], viscosity [muPa*s], enthalpy [kJ/kg]
5.000, 9.98742020e-01, 8.53335182e-04, 1.17167374e+02
15.000, 1.00313488e+00, 8.52724616e-04, 1.26305571e+02
25.000, 1.00744156e+00, 8.52409772e-04, 1.35375163e+02
35.000, 1.01166397e+00, 8.52389331e-04, 1.44378717e+02
45.000, 1.01580400e+00, 8.52660864e-04, 1.53318737e+02
55.000, 1.01986360e+00, 8.53221030e-04, 1.62197654e+02
65.000, 1.02384481e+00, 8.54065754e-04, 1.71017818e+02
75.000, 1.02774974e+00, 8.55190413e-04, 1.79781492e+02
85.000, 1.03158063e+00, 8.56590008e-04, 1.88490849e+02
95.000, 1.03533985e+00, 8.58259332e-04, 1.97147972e+02
