pressure [MPa], density [g/ml], viscosity [muPa*s], enthalpy [kJ/kg]
.050, 9.96535081e-01, 8.53746897e-04, 1.12617779e+02
.150, 9.96579881e-01, 8.53737863e-04, 1.12709865e+02
.250, 9.96624672e-01, 8.53728858e-04, 1.12801944e+02
.350, 9.96669454e-01, 8.53719883e-04, 1.12894015e+02
.450, 9.96714227e-01, 8.53710937e-04, 1.12986079e+02
.550, 9.96758992e-01, 8.53702021e-04, 1.13078136e+02
.650, 9.96803747e-01, 8.53693135e-04, 1.13170186e+02
.750, 9.96848493e-01, 8.53684278e-04, 1.13262228e+02
.850, 9.96893231e-01, 8.53675450e-04, 1.13354263e+02
.950, 9.96937959e-01, 8.53666652e-04, 1.13446291e+02
1.050, 9.96982679e-01, 8.53657884e-04, 1.13538311e+02
1.150, 9.97027390e-01, 8.53649145e-04, 1.13630325e+02
1.250, 9.97072092e-01, 8.53640436e-04, 1.13722331e+02
1.350, 9.97116785e-01, 8.53631757e-04, 1.13814330e+02
1.450, 9.97161469e-01, 8.53623106e-04, 1.13906322e+02
1.550, 9.97206144e-01, 8.53614486e-04, 1.13998306e+02
1.650, 9.97250811e-01, 8.53605895e-04, 1.14090284e+02
1.750, 9.97295469e-01, 8.53597333e-04, 1.14182254e+02
1.850, 9.97340117e-01, 8.53588802e-04, 1.14274217e+02
1.950, 9.97384757e-01, 8.53580299e-04, 1.14366172e+02
2.050, 9.97429388e-01, 8.53571826e-04, 1.14458121e+02
2.150, 9.97474010e-01, 8.53563383e-04, 1.14550062e+02
2.250, 9.97518623e-01, 8.53554970e-04, 1.14641996e+02
2.350, 9.97563228e-01, 8.53546585e-04, 1.14733923e+02
2.450, 9.97607823e-01, 8.53538231e-04, 1.14825843e+02
2.550, 9.97652410e-01, 8.53529906e-04, 1.14917755e+02
2.650, 9.97696988e-01, 8.53521611e-04, 1.15009661e+02
2.750, 9.97741557e-01, 8.53513345e-04, 1.15101559e+02
