pressure [MPa], density [g/ml], viscosity [muPa*s], enthalpy [kJ/kg]
.005, 9.96514919e-01, 8.53750972e-04, 1.12576339e+02
.015, 9.96519399e-01, 8.53750066e-04, 1.12585548e+02
.025, 9.96523880e-01, 8.53749160e-04, 1.12594757e+02
.035, 9.96528361e-01, 8.53748254e-04, 1.12603966e+02
.045, 9.96532841e-01, 8.53747349e-04, 1.12613175e+02
.055, 9.96537322e-01, 8.53746444e-04, 1.12622384e+02
.065, 9.96541802e-01, 8.53745540e-04, 1.12631593e+02
.075, 9.96546282e-01, 8.53744635e-04, 1.12640802e+02
.085, 9.96550762e-01, 8.53743731e-04, 1.12650010e+02
.095, 9.96555242e-01, 8.53742828e-04, 1.12659219e+02
.105, 9.96559722e-01, 8.53741924e-04, 1.12668428e+02
.115, 9.96564202e-01, 8.53741021e-04, 1.12677636e+02
.125, 9.96568682e-01, 8.53740118e-04, 1.12686845e+02
.135, 9.96573162e-01, 8.53739216e-04, 1.12696053e+02
.145, 9.96577642e-01, 8.53738314e-04, 1.12705261e+02
.155, 9.96582121e-01, 8.53737412e-04, 1.12714469e+02
.165, 9.96586600e-01, 8.53736510e-04, 1.12723678e+02
.175, 9.96591080e-01, 8.53735609e-04, 1.12732886e+02
.185, 9.96595559e-01, 8.53734708e-04, 1.12742094e+02
.195, 9.96600038e-01, 8.53733807e-04, 1.12751302e+02
.205, 9.96604517e-01, 8.53732906e-04, 1.12760509e+02
.215, 9.96608996e-01, 8.53732006e-04, 1.12769717e+02
.225, 9.96613475e-01, 8.53731106e-04, 1.12778925e+02
.235, 9.96617954e-01, 8.53730207e-04, 1.12788132e+02
.245, 9.96622433e-01, 8.53729307e-04, 1.12797340e+02
.255, 9.96626912e-01, 8.53728408e-04, 1.12806548e+02
.265, 9.96631390e-01, 8.53727510e-04, 1.12815755e+02
.275, 9.96635869e-01, 8.53726611e-04, 1.12824962e+02
.285, 9.96640347e-01, 8.53725713e-04, 1.12834170e+02
.295, 9.96644825e-01, 8.53724815e-04, 1.12843377e+02
.305, 9.96649303e-01, 8.53723918e-04, 1.12852584e+02
.315, 9.96653782e-01, 8.53723021e-04, 1.12861791e+02
.325, 9.96658260e-01, 8.53722124e-04, 1.12870998e+02
.335, 9.96662737e-01, 8.53721227e-04, 1.12880205e+02
.345, 9.96667215e-01, 8.53720331e-04, 1.12889412e+02
.355, 9.96671693e-01, 8.53719435e-04, 1.12898618e+02
.365, 9.96676171e-01, 8.53718539e-04, 1.12907825e+02
.375, 9.96680648e-01, 8.53717644e-04, 1.12917032e+02
.385, 9.96685126e-01, 8.53716748e-04, 1.12926238e+02
.395, 9.96689603e-01, 8.53715854e-04, 1.12935445e+02
.405, 9.96694081e-01, 8.53714959e-04, 1.12944651e+02
.415, 9.96698558e-01, 8.53714065e-04, 1.12953858e+02
.425, 9.96703035e-01, 8.53713171e-04, 1.12963064e+02
.435, 9.96707512e-01, 8.53712277e-04, 1.12972270e+02
.445, 9.96711989e-01, 8.53711384e-04, 1.12981476e+02
.455, 9.96716466e-01, 8.53710491e-04, 1.12990682e+02
.465, 9.96720943e-01, 8.53709598e-04, 1.12999888e+02
.475, 9.96725419e-01, 8.53708705e-04, 1.13009094e+02
.485, 9.96729896e-01, 8.53707813e-04, 1.13018300e+02
.495, 9.96734372e-01, 8.53706921e-04, 1.13027506e+02
.505, 9.96738849e-01, 8.53706030e-04, 1.13036711e+02
.515, 9.96743325e-01, 8.53705138e-04, 1.13045917e+02
.525, 9.96747801e-01, 8.53704247e-04, 1.13055122e+02
.535, 9.96752277e-01, 8.53703357e-04, 1.13064328e+02
.545, 9.96756754e-01, 8.53702466e-04, 1.13073533e+02
.555, 9.96761229e-01, 8.53701576e-04, 1.13082739e+02
.565, 9.96765705e-01, 8.53700686e-04, 1.13091944e+02
.575, 9.96770181e-01, 8.53699797e-04, 1.13101149e+02
.585, 9.96774657e-01, 8.53698908e-04, 1.13110354e+02
.595, 9.96779133e-01, 8.53698019e-04, 1.13119559e+02
.605, 9.96783608e-01, 8.53697130e-04, 1.13128764e+02
.615, 9.96788083e-01, 8.53696242e-04, 1.13137969e+02
.625, 9.96792559e-01, 8.53695354e-04, 1.13147174e+02
.635, 9.96797034e-01, 8.53694466e-04, 1.13156379e+02
.645, 9.96801509e-01, 8.53693578e-04, 1.13165583e+02
.655, 9.96805984e-01, 8.53692691e-04, 1.13174788e+02
.665, 9.96810459e-01, 8.53691804e-04, 1.13183992e+02
.675, 9.96814934e-01, 8.53690918e-04, 1.13193197e+02
.685, 9.96819409e-01, 8.53690031e-04, 1.13202401e+02
.695, 9.96823884e-01, 8.53689145e-04, 1.13211605e+02
.705, 9.96828358e-01, 8.53688260e-04, 1.13220810e+02
.715, 9.96832833e-01, 8.53687374e-04, 1.13230014e+02
.725, 9.96837307e-01, 8.53686489e-04, 1.13239218e+02
.735, 9.96841782e-01, 8.53685604e-04, 1.13248422e+02
.745, 9.96846256e-01, 8.53684720e-04, 1.13257626e+02
.755, 9.96850730e-01, 8.53683836e-04, 1.13266830e+02
.765, 9.96855204e-01, 8.53682952e-04, 1.13276034e+02
.775, 9.96859678e-01, 8.53682068e-04, 1.13285237e+02
.785, 9.96864152e-01, 8.53681185e-04, 1.13294441e+02
.795, 9.96868626e-01, 8.53680302e-04, 1.13303645e+02
.805, 9.96873100e-01, 8.53679419e-04, 1.13312848e+02
.815, 9.96877574e-01, 8.53678537e-04, 1.13322052e+02
.825, 9.96882047e-01, 8.53677654e-04, 1.13331255e+02
.835, 9.96886521e-01, 8.53676773e-04, 1.13340458e+02
.845, 9.96890994e-01, 8.53675891e-04, 1.13349661e+02
.855, 9.96895467e-01, 8.53675010e-04, 1.13358865e+02
