pressure [MPa], density [g/ml], viscosity [muPa*s], enthalpy [kJ/kg]
.865, 9.96899941e-01, 8.53674129e-04, 1.13368068e+02
.875, 9.96904414e-01, 8.53673248e-04, 1.13377271e+02
.885, 9.96908887e-01, 8.53672368e-04, 1.13386474e+02
.895, 9.96913360e-01, 8.53671488e-04, 1.13395676e+02
.905, 9.96917833e-01, 8.53670608e-04, 1.13404879e+02
.915, 9.96922305e-01, 8.53669728e-04, 1.13414082e+02
.925, 9.96926778e-01, 8.53668849e-04, 1.13423285e+02
.935, 9.96931251e-01, 8.53667970e-04, 1.13432487e+02
.945, 9.96935723e-01, 8.53667092e-04, 1.13441690e+02
.955, 9.96940196e-01, 8.53666213e-04, 1.13450892e+02
.965, 9.96944668e-01, 8.53665335e-04, 1.13460094e+02
.975, 9.96949140e-01, 8.53664458e-04, 1.13469297e+02
.985, 9.96953612e-01, 8.53663580e-04, 1.13478499e+02
.995, 9.96958084e-01, 8.53662703e-04, 1.13487701e+02
1.005, 9.96962556e-01, 8.53661826e-04, 1.13496903e+02
1.015, 9.96967028e-01, 8.53660950e-04, 1.13506105e+02
1.025, 9.96971500e-01, 8.53660073e-04, 1.13515307e+02
1.035, 9.96975972e-01, 8.53659198e-04, 1.13524509e+02
1.045, 9.96980443e-01, 8.53658322e-04, 1.13533711e+02
1.055, 9.96984915e-01, 8.53657447e-04, 1.13542912e+02
1.065, 9.96989386e-01, 8.53656571e-04, 1.13552114e+02
1.075, 9.96993858e-01, 8.53655697e-04, 1.13561316e+02
1.085, 9.96998329e-01, 8.53654822e-04, 1.13570517e+02
1.095, 9.97002800e-01, 8.53653948e-04, 1.13579718e+02
1.105, 9.97007271e-01, 8.53653074e-04, 1.13588920e+02
1.115, 9.97011742e-01, 8.53652201e-04, 1.13598121e+02
1.125, 9.97016213e-01, 8.53651327e-04, 1.13607322e+02
1.135, 9.97020684e-01, 8.53650454e-04, 1.13616523e+02
1.145, 9.97025155e-01, 8.53649582e-04, 1.13625724e+02
1.155, 9.97029625e-01, 8.53648709e-04, 1.13634925e+02
1.165, 9.97034096e-01, 8.53647837e-04, 1.13644126e+02
1.175, 9.97038566e-01, 8.53646965e-04, 1.13653327e+02
1.185, 9.97043037e-01, 8.53646094e-04, 1.13662528e+02
1.195, 9.97047507e-01, 8.53645223e-04, 1.13671729e+02
1.205, 9.97051977e-01, 8.53644352e-04, 1.13680929e+02
1.215, 9.97056447e-01, 8.53643481e-04, 1.13690130e+02
1.225, 9.97060917e-01, 8.53642611e-04, 1.13699330e+02
1.235, 9.97065387e-01, 8.53641741e-04, 1.13708531e+02
1.245, 9.97069857e-01, 8.53640871e-04, 1.13717731e+02
1.255, 9.97074327e-01, 8.53640001e-04, 1.13726931e+02
1.265, 9.97078796e-01, 8.53639132e-04, 1.13736131e+02
1.275, 9.97083266e-01, 8.53638263e-04, 1.13745332e+02
1.285, 9.97087735e-01, 8.53637395e-04, 1.13754532e+02
1.295, 9.97092205e-01, 8.53636527e-04, 1.13763731e+02
1.305, 9.97096674e-01, 8.53635659e-04, 1.13772931e+02
1.315, 9.97101143e-01, 8.53634791e-04, 1.13782131e+02
1.325, 9.97105613e-01, 8.53633924e-04, 1.13791331e+02
1.335, 9.97110082e-01, 8.53633057e-04, 1.13800531e+02
1.345, 9.97114551e-01, 8.53632190e-04, 1.13809730e+02
1.355, 9.97119019e-01, 8.53631323e-04, 1.13818930e+02
1.365, 9.97123488e-01, 8.53630457e-04, 1.13828129e+02
1.375, 9.97127957e-01, 8.53629591e-04, 1.13837329e+02
1.385, 9.97132425e-01, 8.53628726e-04, 1.13846528e+02
1.395, 9.97136894e-01, 8.53627860e-04, 1.13855727e+02
1.405, 9.97141362e-01, 8.53626995e-04, 1.13864926e+02
1.415, 9.97145831e-01, 8.53626131e-04, 1.13874126e+02
1.425, 9.97150299e-01, 8.53625266e-04, 1.13883325e+02
1.435, 9.97154767e-01, 8.53624402e-04, 1.13892523e+02
1.445, 9.97159235e-01, 8.53623538e-04, 1.13901722e+02
1.455, 9.97163703e-01, 8.53622675e-04, 1.13910921e+02
1.465, 9.97168171e-01, 8.53621811e-04, 1.13920120e+02
1.475, 9.97172639e-01, 8.53620948e-04, 1.13929319e+02
1.485, 9.97177107e-01, 8.53620086e-04, 1.13938517e+02
1.495, 9.97181574e-01, 8.53619224e-04, 1.13947716e+02
1.505, 9.97186042e-01, 8.53618361e-04, 1.13956914e+02
1.515, 9.97190509e-01, 8.53617500e-04, 1.13966113e+02
1.525, 9.97194977e-01, 8.53616638e-04, 1.13975311e+02
1.535, 9.97199444e-01, 8.53615777e-04, 1.13984509e+02
1.545, 9.97203911e-01, 8.53614916e-04, 1.13993707e+02
1.555, 9.97208378e-01, 8.53614056e-04, 1.14002905e+02
1.565, 9.97212845e-01, 8.53613195e-04, 1.14012103e+02
1.575, 9.97217312e-01, 8.53612335e-04, 1.14021301e+02
1.585, 9.97221779e-01, 8.53611476e-04, 1.14030499e+02
1.595, 9.97226246e-01, 8.53610616e-04, 1.14039697e+02
1.605, 9.97230712e-01, 8.53609757e-04, 1.14048895e+02
1.615, 9.97235179e-01, 8.53608898e-04, 1.14058092e+02
1.625, 9.97239645e-01, 8.53608040e-04, 1.14067290e+02
1.635, 9.97244112e-01, 8.53607182e-04, 1.14076488e+02
1.645, 9.97248578e-01, 8.53606324e-04, 1.14085685e+02
1.655, 9.97253044e-01, 8.53605466e-04, 1.14094882e+02
1.665, 9.97257510e-01, 8.53604609e-04, 1.14104080e+02
1.675, 9.97261976e-01, 8.53603752e-04, 1.14113277e+02
1.685, 9.97266442e-01, 8.53602895e-04, 1.14122474e+02
1.695, 9.97270908e-01, 8.53602039e-04, 1.14131671e+02
1.705, 9.97275374e-01, 8.53601182e-04, 1.14140868e+02
1.715, 9.97279839e-01, 8.53600327e-04, 1.14150065e+02
1.725, 9.97284305e-01, 8.53599471e-04, 1.14159262e+02
1.735, 9.97288770e-01, 8.53598616e-04, 1.14168459e+02
1.745, 9.97293236e-01, 8.53597761e-04, 1.14177655e+02
1.755, 9.97297701e-01, 8.53596906e-04, 1.14186852e+02
1.765, 9.97302166e-01, 8.53596052e-04, 1.14196049e+02
1.775, 9.97306632e-01, 8.53595198e-04, 1.14205245e+02
1.785, 9.97311097e-01, 8.53594344e-04, 1.14214442e+02
1.795, 9.97315562e-01, 8.53593490e-04, 1.14223638e+02
1.805, 9.97320026e-01, 8.53592637e-04, 1.14232834e+02
1.815, 9.97324491e-01, 8.53591784e-04, 1.14242031e+02
1.825, 9.97328956e-01, 8.53590932e-04, 1.14251227e+02
1.835, 9.97333421e-01, 8.53590079e-04, 1.14260423e+02
1.845, 9.97337885e-01, 8.53589227e-04, 1.14269619e+02
1.855, 9.97342349e-01, 8.53588376e-04, 1.14278815e+02
1.865, 9.97346814e-01, 8.53587524e-04, 1.14288011e+02
1.875, 9.97351278e-01, 8.53586673e-04, 1.14297206e+02
1.885, 9.97355742e-01, 8.53585822e-04, 1.14306402e+02
1.895, 9.97360206e-01, 8.53584972e-04, 1.14315598e+02
1.905, 9.97364670e-01, 8.53584122e-04, 1.14324793e+02
1.915, 9.97369134e-01, 8.53583272e-04, 1.14333989e+02
1.925, 9.97373598e-01, 8.53582422e-04, 1.14343184e+02
1.935, 9.97378062e-01, 8.53581573e-04, 1.14352379e+02
1.945, 9.97382525e-01, 8.53580724e-04, 1.14361575e+02
1.955, 9.97386989e-01, 8.53579875e-04, 1.14370770e+02
1.965, 9.97391452e-01, 8.53579026e-04, 1.14379965e+02
1.975, 9.97395916e-01, 8.53578178e-04, 1.14389160e+02
1.985, 9.97400379e-01, 8.53577330e-04, 1.14398355e+02
1.995, 9.97404842e-01, 8.53576483e-04, 1.14407550e+02
2.005, 9.97409305e-01, 8.53575635e-04, 1.14416745e+02
2.015, 9.97413768e-01, 8.53574789e-04, 1.14425940e+02
2.025, 9.97418231e-01, 8.53573942e-04, 1.14435135e+02
2.035, 9.97422694e-01, 8.53573095e-04, 1.14444329e+02
2.045, 9.97427157e-01, 8.53572249e-04, 1.14453524e+02
2.055, 9.97431619e-01, 8.53571404e-04, 1.14462718e+02
2.065, 9.97436082e-01, 8.53570558e-04, 1.14471913e+02
2.075, 9.97440544e-01, 8.53569713e-04, 1.14481107e+02
2.085, 9.97445007e-01, 8.53568868e-04, 1.14490301e+02
2.095, 9.97449469e-01, 8.53568023e-04, 1.14499495e+02
2.105, 9.97453931e-01, 8.53567179e-04, 1.14508690e+02
2.115, 9.97458393e-01, 8.53566335e-04, 1.14517884e+02
2.125, 9.97462855e-01, 8.53565491e-04, 1.14527078e+02
2.135, 9.97467317e-01, 8.53564648e-04, 1.14536271e+02
2.145, 9.97471779e-01, 8.53563805e-04, 1.14545465e+02
2.155, 9.97476241e-01, 8.53562962e-04, 1.14554659e+02
2.165, 9.97480703e-01, 8.53562119e-04, 1.14563853e+02
2.175, 9.97485164e-01, 8.53561277e-04, 1.14573046e+02
2.185, 9.97489626e-01, 8.53560435e-04, 1.14582240e+02
2.195, 9.97494087e-01, 8.53559593e-04, 1.14591433e+02
2.205, 9.97498548e-01, 8.53558752e-04, 1.14600627e+02
2.215, 9.97503010e-01, 8.53557911e-04, 1.14609820e+02
2.225, 9.97507471e-01, 8.53557070e-04, 1.14619013e+02
2.235, 9.97511932e-01, 8.53556230e-04, 1.14628207e+02
2.245, 9.97516393e-01, 8.53555390e-04, 1.14637400e+02
2.255, 9.97520854e-01, 8.53554550e-04, 1.14646593e+02
2.265, 9.97525315e-01, 8.53553710e-04, 1.14655786e+02
2.275, 9.97529775e-01, 8.53552871e-04, 1.14664979e+02
2.285, 9.97534236e-01, 8.53552032e-04, 1.14674172e+02
2.295, 9.97538696e-01, 8.53551193e-04, 1.14683364e+02
2.305, 9.97543157e-01, 8.53550355e-04, 1.14692557e+02
2.315, 9.97547617e-01, 8.53549517e-04, 1.14701750e+02
2.325, 9.97552077e-01, 8.53548679e-04, 1.14710942e+02
2.335, 9.97556538e-01, 8.53547841e-04, 1.14720135e+02
2.345, 9.97560998e-01, 8.53547004e-04, 1.14729327e+02
2.355, 9.97565458e-01, 8.53546167e-04, 1.14738519e+02
2.365, 9.97569918e-01, 8.53545330e-04, 1.14747712e+02
2.375, 9.97574377e-01, 8.53544494e-04, 1.14756904e+02
2.385, 9.97578837e-01, 8.53543658e-04, 1.14766096e+02
2.395, 9.97583297e-01, 8.53542822e-04, 1.14775288e+02
2.405, 9.97587756e-01, 8.53541987e-04, 1.14784480e+02
2.415, 9.97592216e-01, 8.53541152e-04, 1.14793672e+02
2.425, 9.97596675e-01, 8.53540317e-04, 1.14802864e+02
2.435, 9.97601134e-01, 8.53539482e-04, 1.14812055e+02
2.445, 9.97605594e-01, 8.53538648e-04, 1.14821247e+02
2.455, 9.97610053e-01, 8.53537814e-04, 1.14830439e+02
2.465, 9.97614512e-01, 8.53536980e-04, 1.14839630e+02
2.475, 9.97618971e-01, 8.53536147e-04, 1.14848822e+02
2.485, 9.97623429e-01, 8.53535314e-04, 1.14858013e+02
2.495, 9.97627888e-01, 8.53534481e-04, 1.14867204e+02
2.505, 9.97632347e-01, 8.53533649e-04, 1.14876396e+02
2.515, 9.97636806e-01, 8.53532816e-04, 1.14885587e+02
2.525, 9.97641264e-01, 8.53531984e-04, 1.14894778e+02
2.535, 9.97645722e-01, 8.53531153e-04, 1.14903969e+02
2.545, 9.97650181e-01, 8.53530322e-04, 1.14913160e+02
2.555, 9.97654639e-01, 8.53529491e-04, 1.14922351e+02
2.565, 9.97659097e-01, 8.53528660e-04, 1.14931542e+02
2.575, 9.97663555e-01, 8.53527829e-04, 1.14940733e+02
2.585, 9.97668013e-01, 8.53526999e-04, 1.14949923e+02
2.595, 9.97672471e-01, 8.53526169e-04, 1.14959114e+02
2.605, 9.97676929e-01, 8.53525340e-04, 1.14968304e+02
2.615, 9.97681386e-01, 8.53524511e-04, 1.14977495e+02
2.625, 9.97685844e-01, 8.53523682e-04, 1.14986685e+02
2.635, 9.97690301e-01, 8.53522853e-04, 1.14995876e+02
2.645, 9.97694759e-01, 8.53522025e-04, 1.15005066e+02
2.655, 9.97699216e-01, 8.53521197e-04, 1.15014256e+02
2.665, 9.97703673e-01, 8.53520369e-04, 1.15023446e+02
2.675, 9.97708131e-01, 8.53519541e-04, 1.15032636e+02
2.685, 9.97712588e-01, 8.53518714e-04, 1.15041826e+02
2.695, 9.97717045e-01, 8.53517887e-04, 1.15051016e+02
2.705, 9.97721502e-01, 8.53517061e-04, 1.15060206e+02
2.715, 9.97725958e-01, 8.53516234e-04, 1.15069395e+02
2.725, 9.97730415e-01, 8.53515408e-04, 1.15078585e+02
2.735, 9.97734872e-01, 8.53514583e-04, 1.15087775e+02
2.745, 9.97739328e-01, 8.53513757e-04, 1.15096964e+02
2.755, 9.97743785e-01, 8.53512932e-04, 1.15106154e+02
2.765, 9.97748241e-01, 8.53512107e-04, 1.15115343e+02
2.775, 9.97752697e-01, 8.53511283e-04, 1.15124533e+02
2.785, 9.97757154e-01, 8.53510459e-04, 1.15133722e+02
2.795, 9.97761610e-01, 8.53509635e-04, 1.15142911e+02
2.805, 9.97766066e-01, 8.53508811e-04, 1.15152100e+02
2.815, 9.97770522e-01, 8.53507988e-04, 1.15161289e+02
2.825, 9.97774977e-01, 8.53507165e-04, 1.15170478e+02
2.835, 9.97779433e-01, 8.53506342e-04, 1.15179667e+02
2.845, 9.97783889e-01, 8.53505520e-04, 1.15188856e+02
2.855, 9.97788344e-01, 8.53504697e-04, 1.15198044e+02
2.865, 9.97792800e-01, 8.53503876e-04, 1.15207233e+02
2.875, 9.97797255e-01, 8.53503054e-04, 1.15216422e+02
2.885, 9.97801711e-01, 8.53502233e-04, 1.15225610e+02
2.895, 9.97806166e-01, 8.53501412e-04, 1.15234799e+02
2.905, 9.97810621e-01, 8.53500591e-04, 1.15243987e+02
2.915, 9.97815076e-01, 8.53499771e-04, 1.15253175e+02
2.925, 9.97819531e-01, 8.53498951e-04, 1.15262363e+02
2.935, 9.97823986e-01, 8.53498131e-04, 1.15271552e+02
2.945, 9.97828440e-01, 8.53497311e-04, 1.15280740e+02
2.955, 9.97832895e-01, 8.53496492e-04, 1.15289928e+02
2.965, 9.97837350e-01, 8.53495673e-04, 1.15299116e+02
2.975, 9.97841804e-01, 8.53494855e-04, 1.15308304e+02
2.985, 9.97846259e-01, 8.53494036e-04, 1.15317491e+02
2.995, 9.97850713e-01, 8.53493218e-04, 1.15326679e+02
3.005, 9.97855167e-01, 8.53492401e-04, 1.15335867e+02
3.015, 9.97859621e-01, 8.53491583e-04, 1.15345055e+02
3.025, 9.97864075e-01, 8.53490766e-04, 1.15354242e+02
3.035, 9.97868529e-01, 8.53489949e-04, 1.15363429e+02
3.045, 9.97872983e-01, 8.53489133e-04, 1.15372617e+02
3.055, 9.97877437e-01, 8.53488317e-04, 1.15381804e+02
3.065, 9.97881891e-01, 8.53487501e-04, 1.15390991e+02
3.075, 9.97886344e-01, 8.53486685e-04, 1.15400179e+02
3.085, 9.97890798e-01, 8.53485870e-04, 1.15409366e+02
3.095, 9.97895251e-01, 8.53485055e-04, 1.15418553e+02
3.105, 9.97899705e-01, 8.53484240e-04, 1.15427740e+02
3.115, 9.97904158e-01, 8.53483425e-04, 1.15436926e+02
3.125, 9.97908611e-01, 8.53482611e-04, 1.15446113e+02
3.135, 9.97913064e-01, 8.53481797e-04, 1.15455300e+02
3.145, 9.97917517e-01, 8.53480984e-04, 1.15464487e+02
3.155, 9.97921970e-01, 8.53480171e-04, 1.15473673e+02
3.165, 9.97926423e-01, 8.53479358e-04, 1.15482860e+02
3.175, 9.97930876e-01, 8.53478545e-04, 1.15492046e+02
3.185, 9.97935328e-01, 8.53477733e-04, 1.15501232e+02
3.195, 9.97939781e-01, 8.53476920e-04, 1.15510419e+02
3.205, 9.97944233e-01, 8.53476109e-04, 1.15519605e+02
3.215, 9.97948686e-01, 8.53475297e-04, 1.15528791e+02
3.225, 9.97953138e-01, 8.53474486e-04, 1.15537977e+02
3.235, 9.97957590e-01, 8.53473675e-04, 1.15547163e+02
3.245, 9.97962042e-01, 8.53472864e-04, 1.15556349e+02
3.255, 9.97966494e-01, 8.53472054e-04, 1.15565535e+02
3.265, 9.97970946e-01, 8.53471244e-04, 1.15574721e+02
3.275, 9.97975398e-01, 8.53470434e-04, 1.15583907e+02
3.285, 9.97979850e-01, 8.53469625e-04, 1.15593092e+02
3.295, 9.97984302e-01, 8.53468816e-04, 1.15602278e+02
3.305, 9.97988753e-01, 8.53468007e-04, 1.15611463e+02
3.315, 9.97993205e-01, 8.53467198e-04, 1.15620649e+02
3.325, 9.97997656e-01, 8.53466390e-04, 1.15629834e+02
3.335, 9.98002107e-01, 8.53465582e-04, 1.15639020e+02
3.345, 9.98006559e-01, 8.53464774e-04, 1.15648205e+02
3.355, 9.98011010e-01, 8.53463967e-04, 1.15657390e+02
3.365, 9.98015461e-01, 8.53463160e-04, 1.15666575e+02
3.375, 9.98019912e-01, 8.53462353e-04, 1.15675760e+02
3.385, 9.98024363e-01, 8.53461547e-04, 1.15684945e+02
3.395, 9.98028813e-01, 8.53460741e-04, 1.15694130e+02
3.405, 9.98033264e-01, 8.53459935e-04, 1.15703315e+02
3.415, 9.98037715e-01, 8.53459129e-04, 1.15712499e+02
3.425, 9.98042165e-01, 8.53458324e-04, 1.15721684e+02
3.435, 9.98046616e-01, 8.53457519e-04, 1.15730868e+02
3.445, 9.98051066e-01, 8.53456714e-04, 1.15740053e+02
3.455, 9.98055516e-01, 8.53455910e-04, 1.15749237e+02
3.465, 9.98059966e-01, 8.53455106e-04, 1.15758422e+02
3.475, 9.98064417e-01, 8.53454302e-04, 1.15767606e+02
3.485, 9.98068867e-01, 8.53453498e-04, 1.15776790e+02
3.495, 9.98073316e-01, 8.53452695e-04, 1.15785974e+02
3.505, 9.98077766e-01, 8.53451892e-04, 1.15795159e+02
3.515, 9.98082216e-01, 8.53451090e-04, 1.15804343e+02
3.525, 9.98086666e-01, 8.53450287e-04, 1.15813527e+02
3.535, 9.98091115e-01, 8.53449485e-04, 1.15822710e+02
3.545, 9.98095565e-01, 8.53448683e-04, 1.15831894e+02
3.555, 9.98100014e-01, 8.53447882e-04, 1.15841078e+02
3.565, 9.98104463e-01, 8.53447081e-04, 1.15850262e+02
3.575, 9.98108913e-01, 8.53446280e-04, 1.15859445e+02
3.585, 9.98113362e-01, 8.53445479e-04, 1.15868629e+02
3.595, 9.98117811e-01, 8.53444679e-04, 1.15877812e+02
3.605, 9.98122260e-01, 8.53443879e-04, 1.15886995e+02
3.615, 9.98126708e-01, 8.53443080e-04, 1.15896179e+02
3.625, 9.98131157e-01, 8.53442280e-04, 1.15905362e+02
3.635, 9.98135606e-01, 8.53441481e-04, 1.15914545e+02
3.645, 9.98140054e-01, 8.53440682e-04, 1.15923728e+02
3.655, 9.98144503e-01, 8.53439884e-04, 1.15932911e+02
3.665, 9.98148951e-01, 8.53439086e-04, 1.15942094e+02
3.675, 9.98153400e-01, 8.53438288e-04, 1.15951277e+02
3.685, 9.98157848e-01, 8.53437490e-04, 1.15960460e+02
3.695, 9.98162296e-01, 8.53436693e-04, 1.15969642e+02
3.705, 9.98166744e-01, 8.53435896e-04, 1.15978825e+02
3.715, 9.98171192e-01, 8.53435099e-04, 1.15988008e+02
3.725, 9.98175640e-01, 8.53434303e-04, 1.15997190e+02
3.735, 9.98180088e-01, 8.53433507e-04, 1.16006373e+02
3.745, 9.98184535e-01, 8.53432711e-04, 1.16015555e+02
3.755, 9.98188983e-01, 8.53431915e-04, 1.16024737e+02
3.765, 9.98193431e-01, 8.53431120e-04, 1.16033920e+02
3.775, 9.98197878e-01, 8.53430325e-04, 1.16043102e+02
3.785, 9.98202325e-01, 8.53429530e-04, 1.16052284e+02
3.795, 9.98206773e-01, 8.53428736e-04, 1.16061466e+02
3.805, 9.98211220e-01, 8.53427942e-04, 1.16070648e+02
3.815, 9.98215667e-01, 8.53427148e-04, 1.16079830e+02
3.825, 9.98220114e-01, 8.53426355e-04, 1.16089011e+02
3.835, 9.98224561e-01, 8.53425562e-04, 1.16098193e+02
3.845, 9.98229007e-01, 8.53424769e-04, 1.16107375e+02
3.855, 9.98233454e-01, 8.53423976e-04, 1.16116556e+02
3.865, 9.98237901e-01, 8.53423184e-04, 1.16125738e+02
3.875, 9.98242347e-01, 8.53422392e-04, 1.16134919e+02
3.885, 9.98246794e-01, 8.53421600e-04, 1.16144101e+02
3.895, 9.98251240e-01, 8.53420809e-04, 1.16153282e+02
3.905, 9.98255686e-01, 8.53420018e-04, 1.16162463e+02
3.915, 9.98260133e-01, 8.53419227e-04, 1.16171644e+02
3.925, 9.98264579e-01, 8.53418436e-04, 1.16180825e+02
3.935, 9.98269025e-01, 8.53417646e-04, 1.16190006e+02
3.945, 9.98273471e-01, 8.53416856e-04, 1.16199187e+02
3.955, 9.98277916e-01, 8.53416067e-04, 1.16208368e+02
3.965, 9.98282362e-01, 8.53415277e-04, 1.16217549e+02
3.975, 9.98286808e-01, 8.53414488e-04, 1.16226729e+02
3.985, 9.98291253e-01, 8.53413700e-04, 1.16235910e+02
3.995, 9.98295699e-01, 8.53412911e-04, 1.16245091e+02
4.005, 9.98300144e-01, 8.53412123e-04, 1.16254271e+02
4.015, 9.98304590e-01, 8.53411335e-04, 1.16263452e+02
4.025, 9.98309035e-01, 8.53410548e-04, 1.16272632e+02
4.035, 9.98313480e-01, 8.53409760e-04, 1.16281812e+02
4.045, 9.98317925e-01, 8.53408973e-04, 1.16290993e+02
4.055, 9.98322370e-01, 8.53408187e-04, 1.16300173e+02
4.065, 9.98326815e-01, 8.53407400e-04, 1.16309353e+02
4.075, 9.98331260e-01, 8.53406614e-04, 1.16318533e+02
4.085, 9.98335704e-01, 8.53405829e-04, 1.16327713e+02
4.095, 9.98340149e-01, 8.53405043e-04, 1.16336892e+02
4.105, 9.98344594e-01, 8.53404258e-04, 1.16346072e+02
4.115, 9.98349038e-01, 8.53403473e-04, 1.16355252e+02
